Time, step_count
18.0626479626,1
18.526363039,2
19.2178690052,3
19.6968350029,4
20.3845629311,5
21.0725898361,6
21.689886055,7
22.1248368835,8
22.8213948822,9
23.3156649685,10
23.994252882,11
24.4876620388,12
25.1633278942,13
25.6224419689,14
26.2090718365,15
26.7304458237,16
27.3810410118,17
27.8316150284,18
28.3810179806,19
28.917281065,20
29.5324021912,21
29.9806131458,22
30.7249950504,23
31.1669050789,24
31.5987199879,25
32.1638070679,26
32.7435011005,27
33.3727181816,28
33.8161440754,29
34.3499990368,30
34.9023970032,31
35.4340151215,32
36.0091951752,33
36.5271910095,34
37.1565140152,35
37.6242819691,36
38.1973081493,37
38.7498670483,38
39.2879191303,39
39.8716181183,40
40.5234811306,41
40.9537642002,42
41.493930254,43
42.040625248,44
42.6178533173,45
43.1366992474,46
43.7271993637,47
44.1826742172,48
44.7366214275,49
45.2675872326,50
45.8120353699,51
46.3424573421,52
46.9020643711,53
47.4268472862,54
48.0620833111,55
48.5264003944,56
49.0823265076,57
49.6093595982,58
50.2276435852,59
50.65687356,60
51.1956494808,61
51.7129655838,62
52.3241125107,63
52.8225095081,64
53.4725575256,65
53.887358408,66
54.4601883698,67
54.9841534901,68
55.527267437,69
56.0331563759,70
56.5830313969,71
57.0961603928,72
57.6400494385,73
58.1856674957,74
58.727426548,75
59.2754266453,76
59.9281777573,77
60.5761968327,78
61.4174257946,79
61.9815918636,80
62.561068697,81
63.0448657703,82
63.5707818699,83
64.095978899,84
64.6477827263,85
65.2154359055,86
65.743764801,87
66.2980567646,88
66.8524707985,89
67.4363528919,90
67.9009908867,91
68.4440987396,92
68.9533677387,93
69.5068366814,94
70.0214116859,95
70.5948608208,96
71.1295178223,97
71.6742067623,98
72.3145897675,99
72.9725287247,100
73.3994827557,101
73.8386576462,102
74.370315733,103
75.0297325611,104
75.628444252,105
76.2702723122,106
76.7231002426,107
77.2930343723,108
77.7529523945,109
78.3366703606,110
78.930151186,111
79.556293211,112
80.004683218,113
80.5683054733,114
81.1076044846,115
81.7362763691,116
82.2303163815,117
82.793170433,118
83.4668752956,119
84.0960783768,120
84.7297913837,121
85.1948892879,122
85.6625613976,123
86.099256258,124
86.6386633968,125
87.238705368,126
87.678470583,127
88.2443453979,128
88.7524356174,129
89.4208285141,130
89.9740235138,131
90.3942324448,132
90.9304234314,133
91.5327276516,134
92.0100685883,135
92.6536094475,136
93.088267498,137
