Time, step_count
10.3400743389,1
10.9521332169,2
11.2028453732,3
11.5434692287,4
11.8134372616,5
12.1425831699,6
12.5760321999,7
12.8356121922,8
13.3039792919,9
13.8664220715,10
14.4144321823,11
15.01411026,12
15.5275112915,13
16.0877032375,14
16.6099190807,15
17.1699662304,16
17.7354011631,17
18.1342501736,18
18.4669051266,19
18.7836451626,20
19.3422942257,21
19.8701591587,22
20.4173490524,23
20.9351911068,24
21.6339110851,25
22.0038311005,26
22.5511571884,27
23.0739712238,28
23.6412732124,29
24.3235702038,30
24.7275540352,31
24.9902572155,32
25.2845031738,33
25.7352330208,34
26.042633009,35
26.3808271408,36
26.9240501785,37
27.5783821011,38
27.9134632015,39
28.2331410313,40
28.5295990372,41
29.1164941406,42
29.6358871078,43
30.2106372929,44
30.7363032913,45
31.3298670864,46
32.0794472313,47
40.6254661846,48
41.2691422272,49
41.7576680946,50
42.0405891705,51
42.3604701328,52
42.820691185,53
43.4641559315,54
44.0357260895,55
44.7107479763,56
45.1428399277,57
45.7075650883,58
46.2856750679,59
46.829440136,60
47.3225081158,61
47.610239048,62
47.9797530365,63
48.3721649837,64
48.6806929302,65
49.1216930389,66
49.5576659679,67
50.0984910965,68
50.6580120564,69
51.1939989567,70
51.7524880409,71
52.5003050804,72
52.8369909763,73
53.3642028809,74
53.9006520748,75
54.4716149807,76
55.0406669617,77
55.5305699348,78
55.9520570278,79
56.2985159397,80
56.6047679424,81
57.1331809998,82
57.6806489468,83
58.2360729218,84
58.8936449528,85
59.2897008896,86
59.5602869034,87
59.8241230488,88
60.3644930363,89
60.9067648888,90
61.3379839897,91
61.67374506,92
62.2206748962,93
70.8189782906,94
78.8768649769,95
79.1293879223,96
79.4416378212,97
79.7156608772,98
80.0340259743,99
80.530119009,100
80.8091459942,101
81.1239979935,102
81.5694719028,103
81.8992608261,104
82.2364538383,105
82.6934529018,106
82.966697998,107
83.2719889355,108
83.8228920174,109
84.3788011932,110
84.9148651028,111
85.4493332767,112
85.9841412354,113
86.5246280766,114
87.0522200203,115
87.6054009914,116
88.1589669704,117
88.7413912106,118
89.1490721989,119
89.766328125,120
90.239990263,121
90.5246992397,122
90.8314962673,123
91.6061551857,124
91.9028501797,125
92.4664862442,126
93.0180532837,127
93.5741863155,128
94.2587563896,129
102.295035362,130
103.331106806,131
107.804590845,132
108.062309647,133
108.396216774,134
108.999587679,135
109.529809856,136
110.12283864,137
110.606746817,138
111.135758781,139
111.652170801,140
112.202920027,141
112.770003862,142
113.518910952,143
113.828841991,144
114.27418787,145
114.60213191,146
114.925376005,147
115.462467022,148
116.000496025,149
116.436025019,150
116.755782957,151
117.055031891,152
117.51138484,153
117.838044043,154
118.29860198,155
