Time, x, y, z,,,,,,,,,,,,
8.638869782,-0.919,-9.96,1.225,101.546786,0.277042522,,,,,,,,,,
8.679223795,-0.919,-9.96,1.225,101.546786,0.277042522,,,,,,,,,,
8.704548855,-0.919,-9.96,1.225,101.546786,0.277042522,,,,,,,,,,
8.743743916,-0.919,-9.96,1.225,101.546786,0.277042522,,,,,,,,,,
8.778314848,-0.919,-9.96,1.225,101.546786,0.277042522,,,,,,,,,,
8.802013893,-0.919,-9.96,1.225,101.546786,0.277042522,,,,,,,,,,
8.811637898,-0.919,-9.96,1.225,101.546786,0.277042522,,,,,,,,,,
8.835643787,-0.919,-9.96,1.225,101.546786,0.277042522,,,,,,,,,,
8.87255599,-0.919,-9.96,1.225,101.546786,0.277042522,,,,,,,,,,
8.896031876,-0.919,-9.96,1.225,101.546786,0.277042522,,,,,,,,,,
8.932295818,-0.919,-9.96,1.225,101.546786,0.277042522,,,,,,,,,,
8.955995817,-1.072,-10.113,0.766,104.008709,0.398466012,,,,,,,,,,
8.978824873,-1.072,-10.113,0.766,104.008709,0.398466012,,,,,,,,,,
9.001670856,-1.072,-10.113,0.766,104.008709,0.398466012,,,,,,,,,,
9.02559783,-1.072,-10.113,0.766,104.008709,0.398466012,,,,,,,,,,
9.051759977,-1.072,-10.113,0.766,104.008709,0.398466012,,,,,,,,,,
9.069360991,-1.072,-10.113,0.766,104.008709,0.398466012,,,,,,,,,,
9.078977842,-1.072,-10.113,0.766,104.008709,0.398466012,,,,,,,,,,
9.088854809,-1.072,-10.113,0.766,104.008709,0.398466012,,,,,,,,,,
9.098373909,-1.072,-10.113,0.766,104.008709,0.398466012,,,,,,,,,,
9.336830854,-1.072,-10.113,0.766,104.008709,0.398466012,,,,,,,,,,
9.349210024,-1.072,-10.113,0.766,104.008709,0.398466012,,,,,,,,,,
9.379449844,-1.072,-10.113,0.766,104.008709,0.398466012,,,,,,,,,,
9.389009953,-1.072,-10.113,0.766,104.008709,0.398466012,,,,,,,,,,
9.398569822,-1.072,-10.113,0.766,104.008709,0.398466012,,,,,,,,,,
9.408398867,-1.072,-10.113,0.766,104.008709,0.398466012,,,,,,,,,,
9.419667959,-1.072,-10.113,0.766,104.008709,0.398466012,,,,,,,,,,
9.430668831,-1.072,-9.653,1.532,96.676617,0.032426811,,,,,,,,,,
9.440462828,-1.072,-9.653,1.532,96.676617,0.032426811,,,,,,,,,,
9.450181007,-1.072,-9.653,1.532,96.676617,0.032426811,,,,,,,,,,
9.459659815,-1.072,-9.653,1.532,96.676617,0.032426811,,,,,,,,,,
9.46933198,-1.072,-9.653,1.532,96.676617,0.032426811,,,,,,,,,,
9.478923798,-1.072,-9.653,1.532,96.676617,0.032426811,,,,,,,,,,
9.488560915,-1.072,-9.653,1.532,96.676617,0.032426811,,,,,,,,,,
9.498524904,-1.072,-9.653,1.532,96.676617,0.032426811,,,,,,,,,,
9.50812602,-1.072,-9.653,1.532,96.676617,0.032426811,,,,,,,,,,
9.517901897,-1.072,-9.653,1.532,96.676617,0.032426811,,,,,,,,,,
9.527601957,-1.072,-9.653,1.532,96.676617,0.032426811,,,,,,,,,,
9.537467003,-1.072,-9.653,1.532,96.676617,0.032426811,,,,,,,,,,
9.549245834,-1.072,-9.653,1.532,96.676617,0.032426811,,,,,,,,,,
9.559000969,-1.072,-9.653,1.532,96.676617,0.032426811,,,,,,,,,,
9.568624973,-1.072,-9.653,1.532,96.676617,0.032426811,,,,,,,,,,
9.578626871,-1.072,-9.653,1.532,96.676617,0.032426811,,,,,,,,,,
9.588191986,-1.072,-9.653,1.532,96.676617,0.032426811,,,,,,,,,,
9.598016977,-1.072,-9.653,1.532,96.676617,0.032426811,,,,,,,,,,
9.607600927,-1.072,-9.653,1.532,96.676617,0.032426811,,,,,,,,,,
9.617496967,-1.072,-9.653,1.532,96.676617,0.032426811,,,,,,,,,,
9.627160788,-1.072,-9.653,1.532,96.676617,0.032426811,,,,,,,,,,
9.637077808,-1.072,-9.653,1.532,96.676617,0.032426811,,,,,,,,,,
9.656962872,-1.072,-9.653,1.532,96.676617,0.032426811,,,,,,,,,,
9.676661015,-1.072,-9.653,1.532,96.676617,0.032426811,,,,,,,,,,
9.736125946,-1.072,-9.653,1.532,96.676617,0.032426811,,,,,,,,,,
9.785769939,-1.072,-9.653,1.532,96.676617,0.032426811,,,,,,,,,,
9.814636946,-1.072,-9.653,1.532,96.676617,0.032426811,,,,,,,,,,
10.62663202,-1.072,-9.653,1.532,96.676617,0.032426811,,,,,,,,,,
10.64839797,-1.225,-9.653,0.612,95.055578,-0.050354981,,,,,,,,,,
10.67273002,-1.225,-9.653,0.612,95.055578,-0.050354981,,,,,,,,,,
10.69263892,-1.225,-9.653,0.612,95.055578,-0.050354981,,,,,,,,,,
10.71975188,-1.225,-9.653,0.612,95.055578,-0.050354981,,,,,,,,,,
10.74401002,-1.225,-9.653,0.612,95.055578,-0.050354981,,,,,,,,,,
10.76993089,-1.225,-9.653,0.612,95.055578,-0.050354981,,,,,,,,,,
10.79524283,-1.225,-9.653,0.612,95.055578,-0.050354981,,,,,,,,,,
10.8169549,-1.225,-9.653,0.612,95.055578,-0.050354981,,,,,,,,,,
10.83674102,-1.225,-9.653,0.612,95.055578,-0.050354981,,,,,,,,,,
10.86072283,-1.225,-9.653,0.612,95.055578,-0.050354981,,,,,,,,,,
10.88423805,-1.225,-9.653,0.612,95.055578,-0.050354981,,,,,,,,,,
10.91699986,-1.225,-9.653,0.612,95.055578,-0.050354981,,,,,,,,,,
10.94270496,-1.072,-9.96,0.459,100.561465,0.228033955,,,,,,,,,,
10.96522288,-1.072,-9.96,0.459,100.561465,0.228033955,,,,,,,,,,
10.99215989,-1.072,-9.96,0.459,100.561465,0.228033955,,,,,,,,,,
11.01209097,-1.072,-9.96,0.459,100.561465,0.228033955,,,,,,,,,,
11.03671985,-1.072,-9.96,0.459,100.561465,0.228033955,,,,,,,,,,
11.05489903,-1.072,-9.96,0.459,100.561465,0.228033955,,,,,,,,,,
11.08358197,-1.072,-9.96,0.459,100.561465,0.228033955,,,,,,,,,,
11.11415892,-1.072,-9.96,0.459,100.561465,0.228033955,,,,,,,,,,
11.13801389,-1.072,-9.96,0.459,100.561465,0.228033955,,,,,,,,,,
11.16050487,-1.072,-9.96,0.459,100.561465,0.228033955,,,,,,,,,,
11.18983703,-1.072,-9.96,0.459,100.561465,0.228033955,,,,,,,,,,
11.21393805,-1.072,-9.96,0.459,100.561465,0.228033955,,,,,,,,,,
11.23487287,-1.072,-9.96,0.459,100.561465,0.228033955,,,,,,,,,,
11.25957899,-1.072,-9.96,0.459,100.561465,0.228033955,,,,,,,,,,
11.28944688,-1.072,-9.96,0.459,100.561465,0.228033955,,,,,,,,,,
11.31457,-1.072,-9.96,0.459,100.561465,0.228033955,,,,,,,,,,
11.334446,-1.072,-9.96,0.459,100.561465,0.228033955,,,,,,,,,,
11.35920005,-1.072,-9.96,0.459,100.561465,0.228033955,,,,,,,,,,
11.66723304,-1.072,-9.96,0.459,100.561465,0.228033955,,,,,,,,,,
11.68470602,-1.379,-10.266,1.838,110.670641,0.720011454,,,,,,,,,,
11.7107759,-1.379,-10.266,1.838,110.670641,0.720011454,,,,,,,,,,
11.73542504,-1.379,-10.266,1.838,110.670641,0.720011454,,,,,,,,,,
11.76531105,-1.379,-10.266,1.838,110.670641,0.720011454,,,,,,,,,,
11.80009799,-1.379,-10.266,1.838,110.670641,0.720011454,,,,,,,,,,
11.82235389,-1.379,-10.266,1.838,110.670641,0.720011454,,,,,,,,,,
11.84711294,-1.379,-10.266,1.838,110.670641,0.720011454,,,,,,,,,,
11.87043886,-1.379,-10.266,1.838,110.670641,0.720011454,,,,,,,,,,
11.90289097,-1.379,-10.266,1.838,110.670641,0.720011454,,,,,,,,,,
11.9333499,-1.379,-10.266,1.838,110.670641,0.720011454,,,,,,,,,,
11.95618086,-0.612,-10.113,0.306,102.740949,0.336121004,,,,,,,,,,
11.99394994,-0.612,-10.113,0.306,102.740949,0.336121004,,,,,,,,,,
12.02171998,-0.612,-10.113,0.306,102.740949,0.336121004,,,,,,,,,,
12.04242496,-0.612,-10.113,0.306,102.740949,0.336121004,,,,,,,,,,
12.06646686,-0.612,-10.113,0.306,102.740949,0.336121004,,,,,,,,,,
12.09168701,-0.612,-10.113,0.306,102.740949,0.336121004,,,,,,,,,,
12.11799293,-0.612,-10.113,0.306,102.740949,0.336121004,,,,,,,,,,
12.13311701,-0.612,-10.113,0.306,102.740949,0.336121004,,,,,,,,,,
12.16181593,-0.612,-10.113,0.306,102.740949,0.336121004,,,,,,,,,,
12.43291597,-1.072,-9.807,1.072,98.475617,0.123488147,,,,,,,,,,
12.45943384,-1.072,-9.807,1.072,98.475617,0.123488147,,,,,,,,,,
12.48855286,-1.072,-9.807,1.072,98.475617,0.123488147,,,,,,,,,,
12.51932983,-1.072,-9.807,1.072,98.475617,0.123488147,,,,,,,,,,
12.54551702,-1.072,-9.807,1.072,98.475617,0.123488147,,,,,,,,,,
12.57062798,-1.072,-9.807,1.072,98.475617,0.123488147,,,,,,,,,,
12.59713082,-1.072,-9.807,1.072,98.475617,0.123488147,,,,,,,,,,
12.63534789,-1.072,-9.807,1.072,98.475617,0.123488147,,,,,,,,,,
