Time, x, y, z,,,,,,,,,
4.732324839,None,None,None,,,,,,,,,
4.738165855,None,None,None,,,,,,,,,
4.742980003,None,None,None,,,,,,,,,
4.749238968,None,None,None,,,,,,,,,
4.757361889,0.43478394,-9.550201,-0.9087982,,,,,,,,,
4.764683008,0.43954468,-9.578766,-0.9111786,,,,,,,,,
4.772696972,0.44192505,-9.593048,-0.9421234,,,,,,,,,
4.782858849,0.4538269,-9.581146,-0.94688416,,,,,,,,,
4.788530827,0.44906616,-9.571625,-0.97068787,,,,,,,,,
4.795179844,0.47525024,-9.566864,-0.9754486,,,,,,,,,
4.800831795,0.44906616,-9.564484,-0.95640564,,,,,,,,,
4.806880951,0.42764282,-9.60495,-0.9516449,,,,,,,,,
4.812215805,0.42288208,-9.554962,-0.88261414,,Lap1,Lap2,Lap3,Lap4,Lap5,Lap6,Lap7,Lap8
4.818612814,0.41812134,-9.557343,-0.9849701,,10.31,22.55,7.71,4.38,20.15,7.36,5.26,22.81
4.824810982,0.4466858,-9.569244,-0.9278412,,wait,40,rotate,wait,36,rotate,wait,40
4.831163883,0.41574097,-9.562103,-0.9611664,,,,,,,,,
4.836455822,0.41574097,-9.612091,-0.94688416,,Total,,,,,,,
4.841717005,0.44906616,-9.590668,-1.0040131,,116,,,,,,,
4.848150015,0.44192505,-9.557343,-0.9278412,,,,,,,,,
4.853744984,0.46572876,-9.552582,-0.98020935,,step_count,,,,,,,
4.859215975,0.5038147,-9.571625,-0.88023376,,118,,,,,,,
4.865417957,0.47763062,-9.566864,-0.9754486,,,,,,,,,
4.870853901,0.53237915,-9.5121155,-0.9016571,,,,,,,,,
4.876597881,0.49905396,-9.552582,-0.9516449,,,,,,,,,
4.881974936,0.4371643,-9.54068,-0.9421234,,,,,,,,,
4.889048815,0.41812134,-9.559723,-0.9278412,,,,,,,,,
4.896189928,0.39431763,-9.585907,-0.9254608,,,,,,,,,
4.90246582,0.40621948,-9.583527,-0.8611908,,,,,,,,,
4.908434868,0.40145874,-9.559723,-0.94688416,,,,,,,,,
4.914138794,0.34909058,-9.595428,-0.96354675,,,,,,,,,
4.920418024,0.3633728,-9.521637,-0.9373627,,,,,,,,,
4.926357985,0.37527466,-9.533539,-0.9659271,,,,,,,,,
4.932159901,0.42288208,-9.550201,-0.8873749,,,,,,,,,
4.938028812,0.396698,-9.60257,-0.9421234,,,,,,,,,
4.943487883,0.4466858,-9.574005,-0.88261414,,,,,,,,,
4.948704004,0.46096802,-9.626373,-0.9040375,,,,,,,,,
4.954051018,0.45620728,-9.569244,-0.8849945,,,,,,,,,
4.959591866,0.4300232,-9.578766,-0.8373871,,,,,,,,,
4.965305805,0.480011,-9.566864,-0.8778534,,,,,,,,,
4.971036911,0.44430542,-9.566864,-0.8849945,,,,,,,,,
4.975911856,0.40621948,-9.578766,-0.9183197,,,,,,,,,
4.980595827,0.40145874,-9.585907,-0.8849945,,,,,,,,,
4.985319853,0.40145874,-9.583527,-0.894516,,,,,,,,,
4.990055799,0.4133606,-9.554962,-0.93974304,,,,,,,,,
4.994462967,0.3800354,-9.597809,-0.88975525,,,,,,,,,
4.99841094,0.38241577,-9.562103,-0.875473,,,,,,,,,
5.002654791,0.35147095,-9.588287,-0.894516,,,,,,,,,
5.00679183,0.35861206,-9.583527,-0.875473,,,,,,,,,
5.011009932,0.35861206,-9.583527,-0.875473,,,,,,,,,
5.015479803,0.39907837,-9.569244,-0.93974304,,,,,,,,,
5.019622803,0.41098022,-9.593048,-0.958786,,,,,,,,,
5.023541927,0.44192505,-9.554962,-0.9326019,,,,,,,,,
5.029531002,0.48953247,-9.5383,-0.8707123,,,,,,,,,
5.036973953,0.4942932,-9.571625,-0.89689636,,,,,,,,,
5.041670799,0.4942932,-9.571625,-0.89689636,,,,,,,,,
5.046838999,0.4942932,-9.597809,-0.8707123,,,,,,,,,
5.051863909,0.46572876,-9.524017,-0.91593933,,,,,,,,,
5.056438923,0.4633484,-9.5763855,-0.811203,,,,,,,,,
5.06059289,0.47286987,-9.585907,-0.91355896,,,,,,,,,
5.065749884,0.48477173,-9.571625,-0.8588104,,,,,,,,,
