x_x,x_y,x_z,y_x,y_y,y_z,z_x,z_y,z_z
0.496766531603,-0.867879542481,-0.00284830156835,0.867883991517,0.496761364998,0.00235021557552,-0.000624777843394,-0.00363950377416,0.999993181809
0.508523042621,-0.861043862486,-0.00278962328826,0.861048277537,0.508518721122,0.0021386956082,-0.000422935060211,-0.00348957632526,0.999993821972
0.520993798587,-0.853555684908,-0.00285562508047,0.853560407398,0.520989656024,0.00209981880062,-0.000304561146134,-0.00353144108034,0.999993718063
0.535118844968,-0.844771795298,-0.00290441552068,0.844776715807,0.535114213839,0.00225356997704,-0.000349558327324,-0.00365951036806,0.999993242874
0.550874610882,-0.834584059555,-0.00257111314938,0.834587929449,0.55087050216,0.00216283770578,-0.000388719480937,-0.00333727237929,0.999994355739
0.565620229727,-0.824662315096,-0.00241283728817,0.824665795459,0.565616761804,0.00200114153276,-0.000285524795548,-0.00312167051504,0.999995086812
0.577784366719,-0.816186159247,-0.00231927324492,0.816189398771,0.577780944878,0.00201123570886,-0.000301510861677,-0.00305502678572,0.99999528794
0.588238950472,-0.808684000832,-0.00226361334151,0.808687161426,0.588236259951,0.00178253322209,-0.000109966651675,-0.00287911051945,0.999995849306
0.600559559261,-0.799577043696,-0.00218334028519,0.799580001525,0.600556646566,0.00188027305673,-0.000192203652052,-0.0028749711868,0.999995848791
0.615236201165,-0.78834064937,-0.0018540029633,0.788342609673,0.615232572086,0.00219363147975,-0.000588685853464,-0.00281119103278,0.999995875318
0.632155558511,-0.774840375932,-0.00131972340403,0.774841098856,0.632152581724,0.00209402576469,-0.000788269153706,-0.00234632595937,0.999996936688
0.64561265874,-0.7636638054,-0.00137375295288,0.763664923644,0.64561051753,0.00171582361243,-0.000423403034402,-0.00215684438822,0.999997584373
0.653319573938,-0.757080311651,-0.00171348150057,0.757082244524,0.65331760649,0.00160626176883,-9.66215278232e-05,-0.00234664867485,0.999997241948
0.660297975005,-0.751002182925,-0.00151836952752,0.751003670665,0.660295867413,0.00168941574204,-0.000266181785915,-0.002255818882,0.999997420211
0.668343386034,-0.743850760829,-0.00177875186286,0.743852882915,0.668341738499,0.00148632419077,8.32107322365e-05,-0.00231650464359,0.999997313437
