Time, x, y, z,,
7.696722984,1.1103363,3.601471,8.815079,,
7.70313406,1.1103363,3.601471,8.815079,,
7.709214926,1.1672211,3.6002808,8.88768,,
7.715199947,1.1820526,3.5725098,8.855591,,
7.721607924,1.202713,3.5125122,8.873703,,
7.726516008,1.202713,3.5125122,8.873703,,
7.731143951,1.1486511,3.5631561,8.895737,,
7.735710859,1.1486511,3.5555725,8.946915,,
7.740259886,1.1486511,3.557022,8.959946,,
7.744631052,1.1486511,3.5263214,8.947662,,
7.748705864,1.1389923,3.5343323,8.879959,,
7.752521992,1.1779785,3.5529785,8.861313,,
7.756195068,1.1712494,3.5440063,8.838867,,181
7.759865999,1.1712494,3.5440063,8.838867,,
7.77223587,1.1549377,3.575714,8.780792,,
7.777871847,1.1486511,3.6179504,8.77449,,
7.784402847,1.1486511,3.5631561,8.7890625,,
7.792237043,1.1486511,3.5631561,8.7890625,,
7.800760984,1.186966,3.566864,8.862869,,
7.809483051,1.1996918,3.575882,8.857269,,
7.818091869,1.1880035,3.5641937,8.835098,,
7.826074839,1.1672058,3.5631561,8.898727,,
7.834347963,1.1486511,3.5784454,8.88945,,
7.842299938,1.1295013,3.5752716,8.856216,,
7.849618912,1.1330566,3.6002808,8.810455,,
7.856593847,1.1295013,3.571762,8.789352,,
7.863632917,1.1214752,3.586319,8.81282,,
7.871199846,1.1678162,3.5616455,8.84964,,
7.878695965,1.1170654,3.5564117,8.838715,,
7.886347055,1.1170654,3.5564117,8.838715,,
7.896117926,1.1336517,3.5631561,8.823669,,
7.902127028,1.1295013,3.5631561,8.793655,,
7.908712864,1.1295013,3.5631561,8.793655,,
7.915344954,1.1226044,3.5631561,8.786774,,
7.920287848,1.1295013,3.5808258,8.82901,,
7.92643404,1.1254883,3.5440063,8.866287,,
7.932610035,1.1254883,3.5440063,8.866287,,
7.939744949,1.1357269,3.567459,8.8554535,,
7.946728945,1.1678162,3.5622559,8.837784,,
7.953906059,1.1799316,3.5127106,8.81282,,
7.961668015,1.186966,3.5362701,8.820557,,
7.968567848,1.1678162,3.5440063,8.778961,,
7.976059914,1.1678162,3.5440063,8.778961,,
7.98220396,1.1678162,3.5182953,8.754898,,
7.993193865,1.1678162,3.5182953,8.754898,,
7.999863863,1.206131,3.5157013,8.660461,,
8.005470991,1.206131,3.5157013,8.660461,,
8.01115489,1.1624603,3.5202332,8.66951,,
8.017761946,1.1678162,3.5440063,8.704468,,
8.023185015,1.1326141,3.555725,8.690445,,
8.028959036,1.1447449,3.580368,8.715088,,
8.035120964,1.1486511,3.5529785,8.650574,,
8.040699959,1.191864,3.5487518,8.640396,,
8.047152042,1.191864,3.5487518,8.640396,,
8.054532051,1.1678162,3.5440063,8.62738,,
8.061727047,1.1336823,3.5440063,8.727798,,
8.068954945,1.0911713,3.5182495,8.845154,,
8.075523853,1.0911713,3.4816132,8.975449,,
8.083799839,1.0911713,3.4816132,8.975449,,
8.090915918,1.1546326,3.4613647,8.985245,,
8.097010851,1.191452,3.4865265,8.930023,,
8.102939844,1.1678162,3.4927979,8.940643,,
8.109391928,1.1678162,3.4927979,8.940643,,
8.115484953,1.115387,3.5722198,8.899551,,
8.121357918,1.0911713,3.620636,8.814468,,
8.129081011,1.0911713,3.6432037,8.77449,,
8.134841919,1.0911713,3.6421814,8.740967,,
8.142549038,1.0550842,3.6482544,8.761581,,
8.149497986,1.0337067,3.6589508,8.807587,,
8.15713191,1.0337067,3.6589508,8.807587,,
8.164156914,1.0337067,3.6257172,8.88945,,
8.170459986,1.0337067,3.6257172,8.88945,,
8.17738986,1.0528564,3.5986176,8.845459,,
8.184507847,1.1049347,3.5876923,8.788269,,
8.191680908,1.0911713,3.5823212,8.755341,,
8.198576927,1.1184998,3.5549774,8.747177,,
8.205579042,1.1103363,3.5960693,8.755341,,
8.212419987,1.1678162,3.601471,8.820908,,
8.219058037,1.186966,3.601471,8.823822,,
8.224974871,1.186966,3.5631561,8.755341,,
8.231505871,1.186966,3.5631561,8.755341,,
8.238204002,1.2252808,3.5465088,8.725342,,
8.245116949,1.2227325,3.5631561,8.678711,,
8.251024008,1.1899567,3.555069,8.670639,,
8.339715958,1.1678162,3.582016,8.659409,,
8.347524881,1.0911713,3.5160828,8.784897,,
8.355005026,1.0720215,3.5290222,8.776596,,
8.361811876,1.0919037,3.5255737,8.77449,,
8.369912863,1.0919037,3.5255737,8.77449,,
8.377131939,1.1691437,3.5426483,8.802582,,
8.384485006,1.186966,3.5405579,8.762238,,
8.392896891,1.2252808,3.5568695,8.723312,,
8.398733854,1.2252808,3.5631561,8.680496,,
8.404669046,1.2252808,3.5631561,8.680496,,
8.410883904,1.1777496,3.5631561,8.683319,,
8.416651964,1.1060181,3.566864,8.717026,,
8.422265053,1.1277008,3.5805206,8.762527,,
8.428038836,1.0957794,3.5558777,8.83197,,
8.433804989,1.0465698,3.556717,8.844711,,
8.44311285,1.0528564,3.5350952,9.028015,,
8.449193954,1.0429688,3.4958038,9.08223,,
8.456737995,1.0337067,3.4865265,9.119339,,
8.463641882,1.0588379,3.4607697,9.1319275,,
8.470563889,1.0180969,3.4673615,9.084595,,
8.478565931,1.0442352,3.4630432,9.053268,,
8.485874891,0.99539185,3.5208282,8.942917,,
8.490536928,0.97325134,3.542511,8.848175,,
8.500597,0.97325134,3.542511,8.848175,,
8.507128,0.955719,3.561798,8.751312,,
8.514353037,0.98573303,3.5821533,8.726685,,
8.517991066,0.9804077,3.5715332,8.731995,,
8.52431798,0.9804077,3.5715332,8.731995,,
8.530930042,1.0145416,3.5688477,8.652817,,
8.534497023,1.0145416,3.5688477,8.652817,,
8.537722111,1.0145416,3.5688477,8.652817,,
8.550225973,1.0337067,3.573639,8.77449,,
8.556715965,1.0347443,3.5823212,8.714935,,
8.5635221,1.0767975,3.5631561,8.71463,,
8.569984913,1.0767975,3.5631561,8.71463,,
8.576581001,1.0874176,3.5440063,8.717026,,
8.582859039,1.1103363,3.535019,8.741882,,
8.590240955,1.1103363,3.535019,8.741882,,
8.597336054,1.1103363,3.535019,8.741882,,
8.603024006,1.186966,3.4691467,8.83197,,
8.60806489,1.186966,3.4691467,8.83197,,
8.613380909,1.186966,3.4326324,8.900238,,
8.618942976,1.1960144,3.439148,8.955978,,
8.625314951,1.2496643,3.4435577,9.009644,,
8.629328012,1.2068787,3.4113922,9.005157,,
8.63421607,1.1944427,3.4290466,9.011887,,
8.638207912,1.186966,3.4290466,8.987335,,
8.642990112,1.186966,3.4290466,8.987335,,
8.648159981,1.1486511,3.4324493,8.98732,,
8.653594971,1.1486511,3.465866,8.9086,,
8.658802986,1.1055298,3.4721527,8.879868,,
8.664611101,1.0467682,3.4934998,8.894653,,
8.669853926,1.0467682,3.4934998,8.894653,,
8.674705029,0.99983215,3.5034485,8.980789,,
8.681709051,1.0271606,3.5281067,8.959991,,
8.687551975,0.94799805,3.5581055,8.941879,,
8.693523884,0.94799805,3.5581055,8.941879,,
8.700193882,0.9374542,3.5818634,8.927765,,
8.706238985,0.9337158,3.6128387,8.855331,,
8.712554932,0.92349243,3.603836,8.798416,,
8.718988895,0.90582275,3.6299896,8.700989,,
8.72476697,0.93270874,3.639801,8.636841,,
8.731502056,0.93270874,3.639801,8.636841,,
8.736382008,0.93222046,3.620636,8.697861,,
8.741450071,0.9521637,3.5983582,8.731293,,
8.74652195,0.9928436,3.5823212,8.805191,,
8.75165391,1.0013275,3.5763702,8.82901,,
8.757761955,1.0420837,3.5440063,8.796051,,
8.766382933,1.0528564,3.5716248,8.760696,,
8.771578074,1.0335541,3.5824585,8.7739105,,
8.776561975,0.9542389,3.63443,8.648575,,
8.781594992,0.9049835,3.6589508,8.65686,,
8.791507006,0.9049835,3.6589508,8.65686,,
8.802831888,0.957077,3.6781158,8.544601,,
8.811389923,0.99238586,3.6535645,8.607468,,
8.815805912,1.0826263,3.5688324,8.746811,,
8.821368933,1.0826263,3.5688324,8.746811,,
8.826282024,1.0880585,3.539093,8.886337,,
8.830554962,1.0968475,3.5056915,8.922089,,
8.834109068,1.0968475,3.5056915,8.922089,,
8.915733099,1.2164459,3.4482117,8.861465,,
8.921578884,1.2164459,3.4482117,8.861465,,
8.927329063,1.265686,3.431137,8.868195,,
8.932365894,1.290329,3.4482117,8.851135,,
8.938879967,1.290329,3.4482117,8.851135,,
8.94423008,1.2842407,3.447464,8.833466,,
8.949979067,1.2444458,3.4967651,8.746429,,
8.954673052,1.228714,3.4899597,8.786774,,
8.958718061,1.228714,3.4899597,8.786774,,
8.963666916,1.228714,3.4899597,8.786774,,
8.968564034,1.1795349,3.5365753,8.765884,,
8.973423004,1.1549377,3.5248413,8.774216,,
8.978061914,1.1486511,3.543106,8.791885,,
8.982783079,1.1678162,3.5486298,8.77449,,
8.987658978,1.1678162,3.5486298,8.77449,,
8.992337942,1.206131,3.5631561,8.793655,,
8.997616053,1.206131,3.5631561,8.793655,,
9.002599955,1.1987915,3.5513306,8.800995,,
9.007302046,1.1741943,3.5759277,8.787277,,
9.011818886,1.1495361,3.6005707,8.77449,,
9.017153978,1.1295013,3.5912933,8.749649,,
9.022062063,1.1394348,3.6007233,8.773758,,
9.026262999,1.1332397,3.5823212,8.786179,,
9.03087306,1.1332397,3.5823212,8.786179,,
9.036443949,1.0983582,3.6086578,8.81282,,
9.041745901,1.0983582,3.6086578,8.81282,,
9.046233892,1.1103363,3.6080017,8.787567,,
9.051079035,1.1103363,3.601471,8.792618,,
9.05646801,1.1059875,3.6162872,8.808487,,
9.061335087,1.0911713,3.6128387,8.900818,,
9.06637311,1.0911713,3.6128387,8.900818,,
9.071280003,1.0735168,3.636795,8.88945,,
9.075778961,1.0901184,3.601471,8.933456,,
9.080305099,1.0901184,3.601471,8.933456,,
9.085444927,1.0923615,3.601471,8.92897,,
9.090007067,1.0923615,3.601471,8.92897,,
9.095850945,1.0760498,3.5974274,8.878372,,
9.100190878,1.0760498,3.5974274,8.878372,,
9.104970932,1.0760498,3.5974274,8.878372,,
9.109541893,1.0405273,3.620636,8.838806,,
9.114163876,1.0405273,3.620636,8.838806,,
9.118545055,1.0160217,3.5661163,8.851135,,
9.122979879,1.0105286,3.5823212,8.885452,,
9.127571106,1.0105286,3.5823212,8.885452,,
9.132251978,1.0059204,3.605774,8.864059,,
9.13626194,1.0059204,3.605774,8.864059,,
9.139875889,0.99420166,3.6194458,8.870285,,
9.14348197,0.9959717,3.5948792,8.870285,,
9.147083998,1.0458221,3.5823212,8.846054,,
9.150671005,1.0458221,3.5823212,8.846054,,
9.154782057,1.0353394,3.5297394,8.884552,,
9.159363031,1.0353394,3.5297394,8.884552,,
9.163781881,1.0337067,3.5538788,8.888855,,
9.167949915,1.0631104,3.57341,8.9086,,
9.172556877,1.0631104,3.57341,8.9086,,
9.177243948,1.0518036,3.5429535,8.872391,,
9.181812048,1.0402374,3.5248413,8.9086,,
9.186209917,1.0402374,3.5248413,8.9086,,
9.190516949,1.0337067,3.5266113,8.903259,,
9.194974899,1.0874481,3.5093994,8.897476,,
9.19966507,1.0628815,3.5065765,8.860275,,
9.204427004,1.0674133,3.5010834,8.870285,,
9.208930016,1.0674133,3.5010834,8.870285,,
9.213675022,1.0657196,3.5059662,8.819412,,
9.21809411,1.0411224,3.5025482,8.793655,,
9.222696066,1.0411224,3.5025482,8.793655,,
9.227166891,1.0164795,3.5076294,8.793655,,
9.231868982,1.0164795,3.5076294,8.793655,,
9.236308098,1.0164795,3.5076294,8.793655,,
9.240710974,1.0048828,3.5345001,8.798416,,
9.245445013,1.0048828,3.5345001,8.798416,,
9.249943018,0.9631958,3.5440063,8.800552,,
9.254491091,0.9631958,3.5440063,8.800552,,
9.258723021,1.0103455,3.5440063,8.740372,,
9.263410091,1.0103455,3.5440063,8.740372,,
9.267920017,1.0103455,3.5440063,8.740372,,
9.272407055,1.0025024,3.5423584,8.717026,,
9.276762009,0.9768219,3.5347137,8.702805,,
9.281332016,0.9949341,3.5631561,8.677826,,
9.285845041,0.9949341,3.5631561,8.677826,,
9.29031992,0.9916687,3.5860138,8.648117,,
9.295079947,1.0100403,3.5845642,8.657303,,
9.299562931,1.0100403,3.5845642,8.657303,,
9.304375887,1.0039978,3.6120148,8.680649,,
9.308757067,1.0039978,3.6120148,8.680649,,
9.31327796,1.000473,3.6155396,8.645493,,
9.317859888,0.9765167,3.620636,8.622131,,
9.322379112,1.0128937,3.632309,8.678711,,
9.326776028,1.041565,3.6363678,8.678711,,
9.331315994,1.0337067,3.5870972,8.745773,,
9.335879087,1.0337067,3.5870972,8.745773,,
9.340420008,1.0635529,3.6099243,8.802124,,
9.34484601,1.0635529,3.6099243,8.802124,,
9.34937501,1.0667725,3.5927887,8.826736,,
9.354175091,1.0907135,3.5637512,8.793655,,
9.358839989,1.0393372,3.6341553,8.788025,,
9.363532066,1.0393372,3.6341553,8.788025,,
9.368016958,1.0030212,3.6564026,8.760437,,
9.372580051,0.9733734,3.6972656,8.755341,,
9.377115965,0.9737091,3.7055817,8.722076,,
9.381623983,0.99539185,3.730194,8.678711,,
9.386300087,0.99539185,3.6972656,8.621231,,
9.390857935,0.99539185,3.6972656,8.621231,,
9.39518404,1.0637817,3.6671753,8.681412,,
9.399482012,1.0720215,3.6589508,8.730545,,
9.404217958,1.0720215,3.6589508,8.730545,,
9.408812046,1.0992432,3.5661469,8.932861,,
9.542857885,1.0832977,3.5440063,9.006638,,
9.550124884,0.97073364,3.6048737,8.769012,,
9.557471037,0.9112549,3.7089386,8.801147,,
9.564570904,0.91874695,3.7164307,8.794418,,
9.572148085,0.8850708,3.6873932,8.783783,,
9.579257011,0.9690857,3.6660767,8.816391,,
9.586261988,0.9934387,3.6589508,8.900818,,
9.593086004,1.008255,3.614334,8.883163,,
9.598671913,1.0513458,3.620636,8.852646,,
9.605209112,1.0513458,3.620636,8.852646,,
9.616406918,1.0603333,3.6551971,8.862808,,
9.627038956,1.0603333,3.6551971,8.862808,,
9.633192062,1.0079956,3.6715698,8.81282,,
9.641253948,1.0079956,3.6715698,8.81282,,
9.648765087,1.0079956,3.6715698,8.81282,,
9.656061888,0.99642944,3.6599884,8.81282,,
9.66434288,1.0004578,3.6257172,8.793655,,
9.674460888,1.026123,3.626419,8.768707,,
9.681540012,1.0625,3.6109772,8.735886,,
9.688673019,1.0568848,3.64682,8.712997,,
9.695862055,1.055542,3.6767578,8.697861,,
9.702974081,1.0488129,3.639801,8.755341,,
9.710011959,1.0639343,3.64682,8.770462,,
9.716600895,1.0337067,3.601471,8.755341,,
9.723222017,1.0636292,3.5715332,8.710449,,
9.728765965,1.1036377,3.5689545,8.8328705,,
9.734530926,1.0547943,3.5561218,8.882416,,
9.740135908,1.0866699,3.5455017,8.942429,,
9.746355057,1.0866699,3.5455017,8.942429,,
9.751740932,1.1201324,3.5440063,8.832428,,
9.757256985,1.1103363,3.5440063,8.783188,,
9.765177965,1.1295013,3.5440063,8.773453,,
9.775331974,1.1164246,3.5440063,8.74881,,
9.781080961,1.0682678,3.601471,8.751602,,
9.785811901,1.0436401,3.5922546,8.736176,,
9.790550947,1.0483551,3.5823212,8.7508545,,
9.795717001,1.0337067,3.5996704,8.755341,,
9.80094099,1.046463,3.5631561,8.761734,,
9.806468964,1.0956573,3.5631561,8.77449,,
9.813097954,1.0930939,3.5803833,8.757278,,
9.818255901,1.1295013,3.5595856,8.717026,,
9.82328701,1.1583099,3.5631561,8.769745,,
9.828116894,1.1471405,3.5631561,8.776001,,
9.833322048,1.1471405,3.5631561,8.776001,,
9.840312004,1.1028442,3.5631561,8.781982,,
9.846827984,1.1274109,3.5631561,8.77449,,
9.851778984,1.1260834,3.6138,8.758759,,
9.856353998,1.1295013,3.601471,8.683624,,
9.861104012,1.1295013,3.601471,8.683624,,
9.865787983,1.0720215,3.601471,8.738556,,
9.870587111,1.0660248,3.5954742,8.794861,,
9.875380039,1.0642853,3.59375,8.755341,,
9.88002491,1.0720215,3.601471,8.806091,,
9.884661913,1.0911713,3.601471,8.764694,,
9.888891935,1.1085358,3.5841064,8.73439,,
9.893409014,1.115387,3.5772552,8.755341,,
9.898143053,1.115387,3.5772552,8.755341,,
9.903124094,1.0911713,3.5823212,8.793655,,
9.90774703,1.1216125,3.5744324,8.820694,,
9.912326097,1.1295013,3.5655518,8.779282,,
9.91685605,1.1295013,3.5655518,8.779282,,
9.922087908,1.0911713,3.5823212,8.77449,,
9.926804066,1.0826416,3.5823212,8.791565,,
9.931441069,1.0580444,3.5962677,8.826782,,
9.936067104,1.0717163,3.6011658,8.87059,,
9.940668106,1.0585327,3.5823212,8.900833,,
9.94530201,1.0608673,3.6045837,8.916626,,
9.949749947,1.0860748,3.5874023,8.85878,,
9.954355955,1.0556946,3.5631561,8.883774,,
9.958930016,1.0636902,3.5797882,8.851135,,
9.963619947,1.0528564,3.5876923,8.851135,,
9.968103886,1.0337067,3.5823212,8.870285,,
9.973279953,1.0337067,3.5823212,8.870285,,
9.978183985,1.0308685,3.6096344,8.881287,,
9.983206987,1.0308685,3.6096344,8.881287,,
9.987971067,1.0145416,3.5850067,8.88945,,
9.993232012,1.025528,3.5631561,8.8841095,,
9.998277903,1.025528,3.5631561,8.8841095,,
10.0038271,1.0145416,3.6203308,8.851288,,
10.00870991,1.0145416,3.6203308,8.851288,,
10.01366401,0.99539185,3.6123047,8.758621,,
10.0180831,0.99539185,3.6532593,8.733337,,
10.02329206,0.99539185,3.6532593,8.733337,,
10.02823591,0.99539185,3.6532593,8.733337,,
10.03317308,1.0225525,3.6286469,8.694763,,
10.0377779,1.0202179,3.6532593,8.703552,,
10.123317,0.97680664,3.6212158,8.697861,,
10.12811208,0.99879456,3.6466217,8.710205,,
10.1355691,0.99879456,3.6466217,8.710205,,
10.14187694,0.95092773,3.6336517,8.826599,,
10.14956594,0.9754791,3.6213684,8.869553,,
10.15729499,0.9809723,3.5967102,8.841644,,
10.16438508,1.0025177,3.5979004,8.805695,,
10.172019,1.0145416,3.5975952,8.851135,,
