Time, x, y, z,,,,,,
5.810339928,-2.252655,-9.426422,-0.23277283,,,,,,
5.814519882,-2.2240906,-9.41452,-0.26133728,,,,,,
5.818761826,-2.2050476,-9.4097595,-0.3089447,,,,,,
5.822829962,-2.2050476,-9.4097595,-0.3089447,,,,,,
5.826877832,-2.2026672,-9.419281,-0.30418396,,,,,,
5.831461906,-2.271698,-9.4288025,-0.4565277,,,,,,
5.835822821,-2.2693176,-9.41214,-0.4160614,,,,,,
5.84073782,-2.2288513,-9.400238,-0.39463806,,,,,,
5.844448805,-2.2288513,-9.431183,-0.41368103,,,,,,
5.849082947,-2.1907654,-9.397858,-0.432724,,,,,,
5.853935003,-2.1574402,-9.4288025,-0.4160614,,,,,,
5.860790014,-2.1788635,-9.421661,-0.47080994,,,,,,
5.866583824,-2.1669617,-9.390717,-0.3993988,,,,,,
5.872075796,-2.1955261,-9.431183,-0.3922577,,,,,,
5.877929926,-2.150299,-9.435944,-0.44700623,,,,,,
5.883221865,-2.1360168,-9.438324,-0.31132507,,,,,,
5.888682842,-2.1574402,-9.431183,-0.38511658,,,,,,
5.893689871,-2.214569,-9.407379,-0.37797546,,,,,,
5.899123907,-2.2693176,-9.366913,-0.41130066,,,,,,
5.904276848,-2.245514,-9.390717,-0.39463806,,,,,,
5.908953905,-2.2955017,-9.397858,-0.43748474,,,,,,
5.91335392,-2.2835999,-9.366913,-0.36845398,,,,,,
5.918006897,-2.297882,-9.338348,-0.45414734,,,,,,
5.92223382,-2.297882,-9.338348,-0.45414734,,,,,,
5.92649579,-2.278839,-9.385956,-0.37797546,,,,,,
5.931522846,-2.2740784,-9.383575,-0.3993988,,,,,,
5.936666012,-2.2098083,-9.390717,-0.39701843,,,,,,
5.941931009,-2.2217102,-9.390717,-0.45176697,,,,,,
5.947039843,-2.264557,-9.445465,-0.3422699,,,,,,
5.952458858,-2.226471,-9.381195,-0.36369324,,,,,,
5.957811832,-2.2312317,-9.419281,-0.37083435,,,,,,
5.961606026,-2.2359924,-9.426422,-0.3589325,,,,,,
5.965160847,-2.150299,-9.388336,-0.3755951,,,,,,
5.969525814,-2.1645813,-9.421661,-0.45414734,,,,,,
5.973852873,-2.1931458,-9.433563,-0.41130066,,,,,,
5.978443861,-2.226471,-9.390717,-0.35655212,,,,,,
5.982894897,-2.1574402,-9.421661,-0.36131287,,,,,,
5.987210989,-2.1574402,-9.421661,-0.36131287,,,,,,
5.991684914,-2.181244,-9.395477,-0.3184662,,,,,,
5.996011972,-2.1479187,-9.419281,-0.3993988,,,,,,
6.001032829,-2.1645813,-9.435944,-0.35417175,,,,,,
6.005651951,-2.1645813,-9.41214,-0.32322693,,,,,,
6.011929989,-2.1788635,-9.388336,-0.3660736,,,,,,
6.016492844,-2.1764832,-9.385956,-0.36131287,,,,,,
6.020185947,-2.2050476,-9.41214,-0.40177917,,,,,,
6.023569822,-2.1741028,-9.390717,-0.36369324,,,,,,
6.027043819,-2.188385,-9.424042,-0.3589325,,,,,,
6.030655861,-2.188385,-9.424042,-0.3589325,,,,,,
6.034267902,-2.1598206,-9.397858,-0.33512878,,,,,,
6.038036823,-2.150299,-9.433563,-0.43034363,,,,,,
