Time, step_count, frequency, a_variance
18.3773902226,1,0.054414690437,0.0125150621977
19.0362982369,2,1.51766252389,0.0387374336809
19.3756162739,3,2.94708766072,0.261056534974
20.2625263786,4,1.12750998624,0.656589469426
20.6920143223,5,2.32835406625,0.972024023571
21.2585323906,6,1.76516876677,1.59485198235
21.7854972935,7,1.89765958708,1.65576083495
22.3372434235,8,1.81242775553,2.17643960634
23.6740325356,9,0.74806114963,3.34064599986
24.5067973995,10,1.20081915468,3.69396303988
24.9483445549,11,2.26476376943,4.15244258423
25.5573104286,12,1.64212814405,4.36398204188
25.8812964821,13,3.0865526133,4.47527319347
26.1925235653,14,3.21308797968,4.44848944593
26.6616505051,15,2.13161921693,4.69499392917
27.1580184364,16,2.01463458215,4.65948737425
27.7119704151,17,1.80521062923,4.80196430098
28.8933385277,18,0.846476207852,5.45362939013
29.2745185757,19,2.6234321688,5.48839624009
29.8688994312,20,1.68242296273,5.51018941138
30.1430514717,21,3.64761100535,5.78814886292
30.9176324272,22,1.29102063883,5.91492915972
31.4211994076,23,1.98583314434,6.40486166786
32.0334204102,24,1.63339708339,6.7131526485
32.6747885609,25,1.55916691356,8.2783071914
33.0703555012,26,2.52801712707,8.50137693095
33.4566543961,27,2.58866906752,9.23566955167
34.1669894123,28,1.40778643474,9.18328249843
34.8438573742,29,1.47739301653,9.16587836827
35.5171264076,30,1.48529035251,9.18661695458
35.9971235657,31,2.08334566826,9.89560121916
36.3240855599,32,3.05845944736,9.88318159901
36.8604435825,33,1.86442629309,9.93356690732
37.4553695583,34,1.68088138805,9.95969911366
38.5216665268,35,0.937825042719,10.003379398
38.9620425701,36,2.27078655883,10.0382722893
39.5425395966,37,1.72266170962,10.309309765
40.0288236141,38,2.05641140544,10.4990327095
40.6588447094,39,1.58724843898,10.491547613
41.975048542,40,0.759760741621,10.7422172674
42.3636226654,41,2.57351156401,10.672431949
42.7876465321,42,2.35835781578,10.9408070285
43.3266567421,43,1.85525242636,10.8984483388
43.921134634,44,1.68214834158,10.8812732363
44.4375065994,45,1.93658848077,11.0478909816
45.0275747013,46,1.69471963797,11.0544075793
45.6799287033,47,1.53291004108,11.0000771572
46.0808586311,48,2.49420143171,11.1123451108
46.5478227616,49,2.14149210803,11.244881027
47.1593218327,50,1.63532546037,11.232800958
48.7606237412,51,0.624491855468,11.2230485966
49.3168118477,52,1.79795286567,11.3341268624
49.6057689667,53,3.46072110458,11.4435453037
50.376048851,54,1.29822941029,11.413616535
50.7077677727,55,3.0146004183,11.6158502742
51.4706807614,56,1.31076546718,11.5927020372
51.7310469628,57,3.84074428486,11.6805664542
52.7856307316,58,0.948241410055,11.7817129608
54.1335718918,59,0.741872145109,11.6522227483
55.1572566414,60,0.976863238784,12.232376018
55.7895048046,61,1.58165742215,12.3814750462
56.0556047345,62,3.75798671092,12.3624581465
56.8278816128,63,1.29487238065,12.341690842
57.0943105698,64,3.75334577472,12.6461724478
57.9329905987,65,1.19234984204,12.5549925248
58.2406285286,66,3.25057446678,12.4984993193
58.5021055222,67,3.82442824656,12.479910807
58.9546635628,68,2.20966132572,12.5485070866
59.4324095726,69,2.0931624324,12.5276624553
60.4346776486,70,0.997737056585,12.5618856492
61.1739435673,71,1.35269322535,12.4916390827
61.6637803746,72,2.04149623958,12.5774390861
62.2524015141,73,1.69888563772,12.5697946163
62.5263194275,74,3.65072874371,12.7768021361
62.9799524784,75,2.20442491565,12.7183769967
63.3036035538,76,3.08974718801,12.7431325646
63.8051864243,77,1.99368849861,12.7798835476
64.4187025166,78,1.62994909596,12.7365745234
64.9482955075,79,1.88824251308,12.7664566214
65.7346934414,80,1.27162083828,12.7717104829
66.0303904152,81,3.38184049416,12.6774975165
66.6819066144,82,1.53488125293,12.5970254908
67.3384245968,83,1.5231875237,12.4930732377
67.7890385724,84,2.21919437549,12.3893251093
68.2533344365,85,2.15379906932,12.2988775261
68.5129005051,86,3.85258368015,12.2237823481
68.7984604741,87,3.50189140192,12.170438717
73.0987086201,88,0.232544719755,11.4770312086
73.3899404908,89,3.4336901307,11.4556592161
74.1167824173,90,1.37581496532,11.3719370875
74.7953324223,91,1.47373073862,11.3003320622
75.4771375561,92,1.4666947349,11.2582946333
76.0943925286,93,1.62007605385,11.2001741066
76.7808115387,94,1.45683610913,11.2439143458
77.1525905037,95,2.68977025101,11.187946702
77.7160196209,96,1.77484615095,11.3164507067
78.242152443,97,1.90066074215,11.3300778387
78.8405904675,98,1.67101681214,11.2988075915
79.6211354638,99,1.28115612141,11.271600632
80.0329384709,100,2.42834555041,11.35293179
80.6392235661,101,1.64938905458,11.2758447955
81.1119134331,102,2.11555201364,11.315311104
81.446022501,103,2.99303459866,11.3224333031
82.2412686253,104,1.25747233402,11.3049262082
82.7775945569,105,1.86453785129,11.287197737
83.3797235394,106,1.66077373618,11.2476327404
83.9458146,107,1.76650024975,11.2406902803
84.6487314606,108,1.42264335383,11.2095881634
85.178715458,109,1.88684942377,11.220527649
85.8927614213,110,1.40047006972,11.1609591535
86.2269885064,111,2.9919777437,11.1224237107
86.5863666058,112,2.78258469716,11.1048398357
87.0127114773,113,2.34551900773,11.1555148252
87.5703665734,114,1.79322309986,11.124943578
88.1377855492,115,1.76236615728,11.1425000112
88.7285145474,116,1.69282361806,11.1317089285
89.2655624104,117,1.86203142938,11.1403999632
89.5587586117,118,3.41068538911,11.1779510161
90.5139435483,119,1.04691768239,11.2088916555
90.8940736008,120,2.63067861446,11.1691842902
91.4958735657,121,1.66168171871,11.1795212962
91.9854925824,122,2.04240433071,11.1791902021
92.9367364598,123,1.05125512368,11.143984546
93.2515956116,124,3.17602329218,11.1265510105
94.0033634282,125,1.33019793877,11.169175197
94.8542974568,126,1.17517923407,11.1212240204
95.2173705674,127,2.75426620936,11.1125000706
95.9996424294,128,1.27832796824,11.0589205506
96.826181469,129,1.20986420735,10.9781663826
97.6336794472,130,1.23839319352,10.9090997348
98.1203814126,131,2.05464549402,10.8899373875
99.6891155053,132,0.637456663075,10.7710009459
100.267985563,133,1.7275034113,10.7141030556
100.781358461,134,1.94790181503,10.6933501898
101.585994463,135,1.24279798322,10.6167233304
102.212423544,136,1.5963498988,10.5569157435
103.765244465,137,0.64398926271,10.4120651765
104.862218514,138,0.911598593671,10.3427624635
110.639555588,139,0.173090125631,9.86949546421
113.435150518,140,0.357705613584,9.68376627863
115.142193451,141,0.585808347848,9.58473979168
118.229140415,142,0.323944664932,9.38735875377
121.94980444,143,0.268769228679,9.15298306015
122.368243589,144,2.38983374367,9.121133278
124.102023497,145,0.576774477448,9.02333755489
125.091178551,146,1.01096384825,8.9647739498
