x,y,z,s
2.18679190368e-06,2.03925746525e-07,-0.0,0.999999999998
-0.00100573377334,-0.00137759980281,-4.30303652715e-05,0.999998544432
-0.00195972167353,-0.00240049938343,-0.000172396911035,0.999995183675
-0.00274132070692,-0.0028534676559,-0.000377764279512,0.999992100057
-0.00312439357589,-0.00279058802193,-0.000701738696602,0.999990979132
-0.00313060740389,-0.00220090355401,-0.00102630080149,0.999992150983
-0.00292165739778,-0.00119134808284,-0.00116884263493,0.999994339191
-0.00258391599724,-0.000310676891612,-0.00119252876079,0.999995902358
-0.00226800344283,0.000311978167612,-0.00117252657451,0.999996692
-0.00223150006317,0.00116086856361,-0.0011421922837,0.999996184087
-0.00207654986716,0.00222451691455,-0.0012200414984,0.999994625468
-0.00168451802201,0.00340646514216,-0.00116958082267,0.999992095206
-0.000991238175898,0.00451283136826,-0.00107699070937,0.999988745882
-0.000135529369989,0.00639354033441,-0.000932110110402,0.999979117504
0.00117081485468,0.00830604181239,-0.000972978803819,0.999964345451
0.00264709656232,0.0105736345096,-0.00131603328521,0.999939727778
0.00427374321018,0.0133682438939,-0.0017453269637,0.999899984502
0.00606976818794,0.0161309313123,-0.00237063666134,0.999848654073
0.00777535963564,0.0191966612952,-0.00330459897945,0.999780031609
0.0093482556753,0.0223178389268,-0.00442919968416,0.999697407405
0.0110667454651,0.0250522471689,-0.00570052031221,0.999608631478
0.0127027503639,0.0273479782512,-0.00715756565755,0.99951963336
0.0141754646827,0.0294621026946,-0.00863395705327,0.999428084202
0.0155078373807,0.0306433665827,-0.0102272755546,0.999357740701
0.0166040030925,0.0304758473301,-0.0120714438301,0.999324676997
0.0172961620879,0.0295264963845,-0.0138089715274,0.999318938625
0.0173863986982,0.0282926858061,-0.0153939358536,0.999329907393
0.0163181518468,0.0264259580997,-0.0172696903262,0.999368372751
0.0138097425802,0.0238358333193,-0.0194209825634,0.999431823336
0.0112670094039,0.0214781299621,-0.0210164618947,0.999484893714
0.00676196832388,0.0167848512111,-0.0234629068636,0.999560921883
0.00300402538223,0.0123437188948,-0.0252817426151,0.999599640819
-0.000857023122437,0.00763567654147,-0.0270561795363,0.999604384296
-0.00450920313983,0.00263137307004,-0.0286158651581,0.999576848083
-0.00795559501833,-0.00234594916584,-0.03002456794,0.99951474744
-0.0109868954059,-0.00710788624248,-0.031207249563,0.99942727282
-0.0136050380635,-0.0110313568114,-0.0322988770523,0.999324769355
-0.0154795940244,-0.0140021360578,-0.033599626451,0.999217387487
-0.0166811927027,-0.0153765412599,-0.0353142820992,0.9991187123
-0.0170189428306,-0.0146103288905,-0.0372141560477,0.999055554243
-0.016675328222,-0.0123425123732,-0.0392058587385,0.999015763868
-0.0158391141496,-0.00874730252313,-0.0411387926821,0.998989592988
-0.0145978360633,-0.00416435490697,-0.0428793156911,0.99896492712
-0.0129508677506,0.000869027775241,-0.0442906717496,0.998934360312
-0.0109733659501,0.00630287200063,-0.0452441207283,0.998895804668
-0.0086124332865,0.0126990183683,-0.0452414324694,0.998858235043
-0.00566385954748,0.0200387026393,-0.043886623174,0.998819470874
-0.00233691987225,0.0285595825458,-0.0418431551009,0.998713191773
0.00112784480229,0.0375870186216,-0.0402519297721,0.998481710472
0.0044209271536,0.0459613412558,-0.0399430675219,0.998134540966
0.00750516466822,0.0517290655157,-0.040036580784,0.997830069943
0.010818715097,0.0552455317325,-0.039387215871,0.997636974983
0.0141138864528,0.0562407014332,-0.0380799183763,0.997590949001
0.0166334399558,0.0531192934496,-0.0361389533213,0.997795392549
0.0185437940804,0.0484991054198,-0.0339129476571,0.99807508558
0.0201011483819,0.0436750571357,-0.0317054450254,0.998340221555
