x,y,z,s
2.18679190368e-06,2.03925746525e-07,-0.0,0.999999999998
0.000704602557076,-0.000172823316535,-0.00129081100696,0.999998903737
0.00163257474136,-0.000625703219501,-0.00274312747981,0.999994709209
0.0023667268421,-0.00118535342317,-0.00435708198463,0.999987004605
0.00316225831469,-0.0024873914549,-0.00602652290503,0.999973746669
0.00389446108783,-0.00348851733457,-0.00746919939875,0.999958436376
0.0039408669414,-0.00540033119106,-0.00854131681076,0.999941174219
0.00301161352212,-0.00790796464179,-0.00916922628051,0.999922156755
0.00214948326669,-0.0101686201513,-0.00983884054201,0.999897582807
0.00171359741046,-0.0124533654609,-0.0111925295408,0.999858342244
0.00143539605533,-0.0147907760409,-0.0140286701474,0.999791162692
0.000466313783599,-0.0157175824236,-0.0182822749089,0.999709207009
-0.00171713807948,-0.0165143161927,-0.0224792106632,0.999609430671
-0.00512911939572,-0.0179600188687,-0.0261459331232,0.999483626698
-0.00906555781094,-0.0199902711015,-0.0290221466194,0.99933774057
-0.0123184463188,-0.021458914135,-0.031889587918,0.999185080487
-0.0145756459654,-0.0221591288318,-0.035358442844,0.999022674454
-0.0163291326648,-0.0224383073681,-0.0390158276093,0.998853165878
-0.0174302924424,-0.0225414715301,-0.0421776138033,0.998703717756
-0.0181864884046,-0.0230721275459,-0.0442700584685,0.998587547736
-0.0188207698015,-0.0244379516057,-0.0457844685822,0.998475010995
-0.019171185705,-0.0254987012308,-0.0468277659251,0.998393430574
-0.0191014524335,-0.0263826138868,-0.0493342510671,0.998251082579
-0.0183187127994,-0.0270526527652,-0.0514611689755,0.998140434422
-0.0171494037395,-0.0287688107957,-0.0531378870539,0.998025359616
-0.0167986445319,-0.0314790569312,-0.0544099922875,0.997880968481
-0.0166683361774,-0.0342676371881,-0.0559877846748,0.997703995972
-0.0161865328292,-0.0365287701311,-0.0584443976295,0.997490800706
-0.0150663794232,-0.0383829141411,-0.0614760746187,0.997256460677
-0.0125192693185,-0.037913085942,-0.0645476318216,0.997115574563
-0.00911269854928,-0.0370303122516,-0.067119694496,0.997015878164
-0.00637851794287,-0.0366339736824,-0.0687429657749,0.996941157309
-0.0051958947117,-0.037343581567,-0.0692737399239,0.996884952515
-0.00500232675365,-0.03873611218,-0.0688691020687,0.996860841402
-0.00457543021808,-0.0384524571116,-0.0681675595594,0.996922092144
-0.00384126383975,-0.0360651148558,-0.0664058784385,0.997133296752
-0.00237637150192,-0.0324313648607,-0.0634755529205,0.997453464385
-0.000600452055991,-0.0288055498174,-0.0598460629209,0.997791726018
0.000381432888478,-0.0253247692623,-0.0566456492063,0.998073033899
-0.000529996013587,-0.0227454716681,-0.0551779034352,0.998217291773
-0.00389860257734,-0.0200174963777,-0.0561718161392,0.998212816892
-0.00716627134307,-0.0157563609947,-0.0578896864493,0.998172913801
-0.00874868267076,-0.0112107479179,-0.058841355013,0.998166055635
-0.00819430476721,-0.00711577612567,-0.0586371389853,0.998220368972
-0.00701366133194,-0.00459491918362,-0.057984943973,0.998282245432
-0.00585287360222,-0.00215699921146,-0.058620451451,0.998260854635
-0.00466507023812,0.000680864747689,-0.0606429328483,0.998148389889
-0.00340824672505,0.00430635816644,-0.0638597498134,0.997943771706
-0.00229512073486,0.00790673836546,-0.0675786795739,0.997679977736
-0.00137270096852,0.0112604985963,-0.071497679247,0.99737625735
-0.000574206978772,0.0148066745342,-0.0751988823845,0.997058454036
0.000912076132191,0.0183019476155,-0.0780930933821,0.996777646016
0.00358348226463,0.0214666772616,-0.0808575950315,0.9964880279
0.00761211036412,0.0244566880282,-0.0840889043943,0.996128998847
0.0118000480681,0.0274349777706,-0.0878033962013,0.995690034336
0.0153065586449,0.0291029805275,-0.0916655145363,0.99524678308
0.0176958510551,0.0299036024953,-0.0948243198748,0.994887420653
0.0197373611197,0.0307062462927,-0.0973612868269,0.994579480405
0.0214538291442,0.0311559127626,-0.0988676654549,0.994381328788
0.0235799868892,0.0305896564215,-0.0996710770788,0.994270553487
0.0267866864912,0.0300470754948,-0.0995822733085,0.994214774344
0.0301422719787,0.0301240718682,-0.098471076108,0.994227051988
0.0319587770524,0.0293069790143,-0.0958144968692,0.994454282378
0.0309446716096,0.0256412039234,-0.0924199659889,0.994908792728
0.0277983115583,0.0205915560485,-0.0895986379696,0.995376976712
0.0231641208979,0.0162715979714,-0.0885045821536,0.995673439206
0.0180918286251,0.0156271027342,-0.0877720867177,0.995853674086
0.0117435170391,0.0148823589898,-0.0866026570302,0.996062540704
0.00444048488775,0.0153701055792,-0.0849388788842,0.996257712042
-0.00164655925584,0.0167450570937,-0.0828337351082,0.996421328673
-0.00485438292199,0.0156284093069,-0.0794978290533,0.996700698788
-0.00685364601648,0.0133871099303,-0.076658170792,0.996943999267
-0.0095589805749,0.0111922126319,-0.0761461816913,0.99698802364
-0.0117269238334,0.0103202053574,-0.0782792696176,0.996809073277
-0.0128119390512,0.0117001205224,-0.0816277730016,0.996511850442
-0.0128930663899,0.012801879364,-0.0858743281931,0.996140291566
-0.0123780209741,0.0133798323621,-0.0906892228043,0.995712423117
-0.0118894329357,0.0142421534687,-0.0953976085633,0.995266345623
-0.0109838756978,0.0148270168639,-0.0992615393077,0.994890275789
-0.00932459843966,0.014631258658,-0.101619347453,0.994672049651
-0.0061166663169,0.0125037547015,-0.100514536204,0.99483821324
-0.0042952548349,0.0108071934341,-0.0988438881105,0.995034994932
-0.0018264589372,0.00749984620606,-0.0952411898634,0.995424297527
-4.40211634661e-05,0.00410751877036,-0.0912983189274,0.995815115025
-4.74517150801e-05,0.000554735382842,-0.0872704437206,0.996184500818
-0.00111716305343,-0.0024726756938,-0.0834754682041,0.996506138481
-0.00199766984499,-0.00453374410984,-0.0797973650905,0.996798793641
-0.00222219735459,-0.0056648394412,-0.075859828931,0.997099923672
-0.00167646949414,-0.00628194114556,-0.0714996742878,0.997419431955
-0.0010420295745,-0.00640913302642,-0.0670849996144,0.997726134776
-0.000649544341543,-0.00520493489072,-0.0630911240442,0.997993986361
-6.8369043941e-05,-0.00124281240568,-0.0597738972613,0.998211166011
-0.000463939341595,0.00404939146645,-0.0561768624142,0.998412513603
-0.00202043249282,0.00840506147556,-0.0522182695645,0.99859828015
-0.00311047042734,0.0125401862494,-0.0490780079553,0.998711378646
-0.00249294280064,0.0179121112854,-0.0469064556317,0.998735563563
0.000218949039556,0.0231361853865,-0.0464902556116,0.998650752325
0.0044935538186,0.0271871010158,-0.0478619366618,0.998473787604
0.00904468772099,0.0306132913785,-0.0502317550894,0.998227324208
0.0134722396663,0.0332390867128,-0.052851735215,0.997958093287
0.0174563236805,0.0355011699062,-0.0555794354821,0.99767022109
0.0219531459082,0.037692008041,-0.0577226750733,0.99737929831
0.026438639223,0.0401925378673,-0.0592114078183,0.997085536672
0.0289801086721,0.0431638147898,-0.060653194525,0.996804007008
0.0311705284642,0.0464530006627,-0.0619188171597,0.99651220613
0.0344812073605,0.0504948520941,-0.0630244391473,0.996137157384
0.0387622910733,0.0549008147206,-0.063720129563,0.995702330228
0.0424834740349,0.0589430069396,-0.0637971379106,0.995314423467
0.0441189308247,0.0623190124425,-0.0634310396715,0.995060984984
0.0428510480665,0.0639576525895,-0.0619521768572,0.995105589441
0.041823130193,0.0633337807807,-0.058903006724,0.99537434857
0.0427340035442,0.0636194514583,-0.0551973747081,0.995529818821
0.0440877454056,0.0645634255831,-0.050851911899,0.995641460486
0.0443662487677,0.0641073751311,-0.0464077390972,0.995875595733
0.0436448080883,0.061066561062,-0.042809829675,0.99625966712
0.0418668873482,0.0568743760574,-0.0406888569333,0.996672908237
0.0394807259656,0.0545105368051,-0.0392822013248,0.996958766606
0.0347077075727,0.0551809646318,-0.0367166964096,0.997197232438
0.0297072634805,0.0552512915737,-0.0330178228617,0.997484133533
0.0274030863369,0.0528748087485,-0.0282704934525,0.997824686335
0.0297235539305,0.0481809291125,-0.0232809498011,0.998124794697
0.0337665145575,0.0429597883529,-0.0202302119208,0.998301065613
0.0351203096279,0.0375925745272,-0.0214857704577,0.998444652377
0.0335561965855,0.0349797234524,-0.026173714139,0.998481515756
0.0315386917089,0.0347026903051,-0.0321964776684,0.998380899776
0.0319885348143,0.0339446111231,-0.0385966311566,0.998165716241
0.0332823945061,0.0322158297547,-0.045022833081,0.997911502605
0.0325729552424,0.0303227511101,-0.0512082637563,0.997695969259
0.0293478845565,0.0286870014354,-0.0559344633263,0.997590644219
0.025325203535,0.0255884035226,-0.0579845616296,0.997668110287
0.0218767606731,0.0210611412691,-0.0580540396983,0.997851473991
0.02033117898,0.0170502182144,-0.0567295370059,0.998036919583
0.0210822092953,0.0144500176949,-0.054927159617,0.998163185344
0.0221083214132,0.012107810405,-0.0522626111526,0.998315201991
0.0216937537495,0.00940766566564,-0.0479775388223,0.998568491714
0.0194492501775,0.0052766735742,-0.0421700847052,0.998907186549
0.0172559211884,0.000334411198558,-0.0363010445888,0.999191851205
0.017378481101,-0.00273130543055,-0.0311389321083,0.999360242992
0.0191799339602,-0.00440344465272,-0.0261720060838,0.999463739165
0.0225614492791,-0.00576364254036,-0.0216530119832,0.999494326399
0.0261041819222,-0.00743965820745,-0.0185378765415,0.999459639158
0.0293532549975,-0.00684009639656,-0.0166243567248,0.999407439569
0.0324635417887,-0.0038559876527,-0.0137379425599,0.999371061592
0.0358523215089,-0.0030501481254,-0.0101780630521,0.999300612764
0.039721797131,-0.00378279011649,-0.00767241590726,0.999174160678
0.0437014692262,-0.00320042689764,-0.00630883989965,0.999019588093
0.0473489503266,0.00042392490518,-0.00625603411275,0.998858728363
0.0499350470435,0.00279379300791,-0.00572400796361,0.998732157052
0.0513580473389,0.000526454110529,-0.00450546646174,0.99867000285
0.0517104212914,-0.00315659352745,-0.00352091206562,0.998650925712
0.0507358134622,-0.00672954992412,-0.00436615052035,0.998679892218
0.048644762418,-0.00841994881083,-0.00740690708585,0.998753187368
