Time, x, y, z,,
5.145627975,None,None,None,,
5.14913106,None,None,None,,
5.154340982,None,None,None,,
5.157851934,None,None,None,,
5.16156292,None,None,None,,
5.165737867,None,None,None,,
5.169898987,None,None,None,,
5.174182892,None,None,None,,
5.178331852,None,None,None,Lap1,Lap2
5.182456017,None,None,None,20.23,01:41.4
5.186594009,None,None,None,wait,189
5.190634966,None,None,None,,
5.204571962,None,None,None,Total,
5.209342003,None,None,None,189,
5.214238882,None,None,None,step_count,
5.219045877,None,None,None,185,
5.223716974,None,None,None,,
5.228344917,None,None,None,,
5.232904911,None,None,None,,
5.237647057,None,None,None,,
5.242482901,None,None,None,,
5.247462988,None,None,None,,
5.252151966,None,None,None,,
5.257086039,None,None,None,,
5.262229919,None,None,None,,
5.266296864,None,None,None,,
5.270496845,None,None,None,,
5.275210857,None,None,None,,
5.278532028,None,None,None,,
5.282757998,None,None,None,,
5.287397861,None,None,None,,
5.291903973,None,None,None,,
5.29843092,None,None,None,,
5.303215981,None,None,None,,
5.308521986,None,None,None,,
5.31357789,None,None,None,,
5.317770004,None,None,None,,
5.32238102,None,None,None,,
5.326566935,None,None,None,,
5.330715895,None,None,None,,
5.334914923,None,None,None,,
5.339052916,None,None,None,,
5.343328953,None,None,None,,
5.347502947,None,None,None,,
5.351843834,None,None,None,,
5.356015921,None,None,None,,
5.360138893,None,None,None,,
5.364498854,None,None,None,,
5.36863184,None,None,None,,
5.373085022,None,None,None,,
5.377882957,7.8972473,-5.2607727,-1.0111542,,
5.383000851,7.830597,-5.275055,-1.0492401,,
5.387750864,7.882965,-5.2607727,-1.023056,,
5.392437935,7.8353577,-5.256012,-1.0563812,,
5.397167921,7.856781,-5.263153,-1.0135345,,
5.402027845,7.8401184,-5.236969,-1.0087738,,
5.406817913,7.8401184,-5.236969,-1.0087738,,
5.411679029,7.84964,-5.229828,-1.0325775,,
5.41642499,7.856781,-5.2583923,-1.087326,,
5.42167902,7.868683,-5.2322083,-1.0468597,,
5.42751503,7.8972473,-5.2845764,-1.1206512,,
5.432626963,7.8591614,-5.210785,-1.0635223,,
5.438510895,7.8520203,-5.225067,-1.0730438,,
5.44491291,7.8615417,-5.270294,-1.1087494,,
5.452375889,7.8782043,-5.267914,-1.0135345,,
5.458355904,7.863922,-5.2774353,-1.0801849,,
5.463974953,7.8591614,-5.294098,-1.0730438,,
5.468741894,7.8329773,-5.263153,-1.0325775,,
5.473716021,7.868683,-5.2798157,-1.0254364,,
5.480031013,7.8282166,-5.2798157,-1.0278168,,
5.485301971,7.8353577,-5.2726746,-0.9944916,,
5.490310907,7.8663025,-5.270294,-1.061142,,
5.495372057,7.825836,-5.2607727,-1.1158905,,
5.499359846,7.844879,-5.2964783,-1.0706635,,
5.503329039,7.844879,-5.282196,-1.0540009,,
5.506862879,7.8472595,-5.267914,-1.0492401,,
5.510694981,7.8591614,-5.2774353,-1.0730438,,
5.514586926,7.8591614,-5.2774353,-1.0730438,,
5.518436909,7.8282166,-5.294098,-1.0206757,,
5.522305965,7.7972717,-5.294098,-1.1515961,,
5.526228905,7.837738,-5.301239,-1.0540009,,
5.530014992,7.837738,-5.301239,-1.0540009,,
5.533849955,7.8353577,-5.3107605,-0.98735046,,
5.545551062,7.863922,-5.275055,-1.0587616,,
5.550513983,7.863922,-5.275055,-1.0587616,,
5.556196928,7.842499,-5.3298035,-1.0754242,,
5.561166048,7.8210754,-5.270294,-1.1277924,,
5.565940857,7.8353577,-5.2774353,-1.0516205,,
5.570735931,7.8353577,-5.2774353,-1.0516205,,
5.57565403,7.823456,-5.2964783,-1.0254364,,
5.58086586,7.842499,-5.2655334,-1.1468353,,
5.586220026,7.818695,-5.3155212,-1.0992279,,
5.590704918,7.8353577,-5.263153,-1.0778046,,
5.596045017,7.8544006,-5.3226624,-1.042099,,
5.690588799,7.8139343,-5.3179016,-1.061142,,
5.697441902,7.830597,-5.3036194,-1.0135345,,
5.704167929,7.825836,-5.320282,-1.0754242,,
5.711846914,7.8663025,-5.289337,-1.0659027,,
5.718588915,7.868683,-5.294098,-1.0397186,,
5.72623476,7.8734436,-5.2798157,-1.1420746,,
5.731462803,7.856781,-5.2655334,-1.0254364,,
5.735380735,7.837738,-5.3179016,-1.0754242,,
5.740289774,7.8615417,-5.3036194,-1.0206757,,
5.745496836,7.806793,-5.327423,-0.93974304,,
5.750867929,7.8210754,-5.289337,-1.0349579,,
5.755939808,7.8615417,-5.327423,-0.977829,,
5.761976805,7.8353577,-5.30838,-1.0254364,,
5.766653862,7.8091736,-5.286957,-1.0587616,,
5.771537867,7.844879,-5.2274475,-1.0635223,,
5.77646884,7.8472595,-5.289337,-1.061142,,
5.781660881,7.887726,-5.2988586,-1.0563812,,
5.786421862,7.856781,-5.286957,-1.0801849,,
5.791191902,7.84964,-5.2583923,-1.1492157,,
5.795905914,7.837738,-5.2988586,-1.1016083,,
5.800902929,7.902008,-5.2583923,-1.0516205,,
5.805799809,7.8472595,-5.267914,-1.1396942,,
5.810616817,7.8282166,-5.251251,-1.0706635,,
5.815328922,7.8472595,-5.263153,-1.0801849,,
5.820168819,7.868683,-5.248871,-1.0254364,,
5.824956741,7.8520203,-5.270294,-1.106369,,
5.830116835,7.830597,-5.289337,-1.1039886,,
5.834911909,7.8163147,-5.3179016,-1.0778046,,
5.839698877,7.868683,-5.2536316,-1.0706635,,
5.844325867,7.8663025,-5.275055,-1.0944672,,
5.849245873,7.8401184,-5.256012,-1.0444794,,
5.853663769,7.8615417,-5.2417297,-1.0897064,,
5.858360853,7.871063,-5.282196,-1.0659027,,
5.8646768,7.890106,-5.2774353,-1.1111298,,
5.870440807,7.8329773,-5.2536316,-1.0325775,,
5.875843849,7.8853455,-5.251251,-1.0778046,,
5.880732861,7.8782043,-5.289337,-1.061142,,
5.886299934,7.871063,-5.286957,-1.0897064,,
5.890431728,7.830597,-5.2845764,-1.0397186,,
5.895267811,7.8329773,-5.2964783,-1.0301971,,
5.899354782,7.8210754,-5.2964783,-1.0444794,,
5.903199759,7.8091736,-5.2774353,-1.0778046,,
5.908007946,7.8210754,-5.3107605,-1.0992279,,
5.91294488,7.799652,-5.2464905,-1.1230316,,
5.917920914,7.799652,-5.2464905,-1.1230316,,
5.923099842,7.8139343,-5.222687,-1.0540009,,
5.928238955,7.804413,-5.286957,-1.0920868,,
5.933383789,7.863922,-5.2536316,-1.125412,,
5.939201918,7.894867,-5.2726746,-1.0920868,,
5.943979826,7.8544006,-5.275055,-1.0325775,,
5.948810902,7.818695,-5.2726746,-1.0706635,,
5.953339901,7.8734436,-5.256012,-1.0563812,,
5.958154764,7.823456,-5.267914,-1.0682831,,
5.962820854,7.8591614,-5.270294,-1.0778046,,
5.968278732,7.842499,-5.282196,-1.1325531,,
5.973388758,7.8282166,-5.2607727,-1.1087494,,
5.978032913,7.856781,-5.2655334,-1.087326,,
5.983046856,7.871063,-5.2393494,-1.0825653,,
5.987829771,7.818695,-5.267914,-1.0206757,,
5.992583838,7.844879,-5.263153,-1.0040131,,
5.99732789,7.8353577,-5.301239,-1.1349335,,
6.001394835,7.830597,-5.248871,-1.0825653,,
6.005396929,7.830597,-5.248871,-1.0825653,,
6.009553757,7.8472595,-5.286957,-1.0682831,,
6.013435926,7.818695,-5.2774353,-1.0778046,,
6.017112818,7.868683,-5.2655334,-1.0016327,,
6.020957794,7.871063,-5.2607727,-1.0754242,,
6.024744835,7.871063,-5.2607727,-1.0754242,,
6.028585758,7.842499,-5.2393494,-1.0563812,,
6.032247868,7.8663025,-5.2203064,-1.0801849,,
6.038261738,7.823456,-5.2274475,-1.1230316,,
6.042269793,7.8472595,-5.263153,-1.0968475,,
6.048998919,7.8472595,-5.267914,-1.0635223,,
6.052622881,7.8282166,-5.2607727,-1.0849457,,
6.05645093,7.8520203,-5.256012,-1.0778046,,
6.060445871,7.868683,-5.225067,-1.0920868,,
6.064263906,7.868683,-5.225067,-1.0920868,,
6.068859901,7.8329773,-5.2583923,-1.0635223,,
6.072498884,7.8663025,-5.251251,-1.0278168,,
6.076316919,7.856781,-5.263153,-1.0468597,,
6.089100924,7.856781,-5.263153,-1.0468597,,
6.094071951,7.8329773,-5.275055,-1.0682831,,
6.099005785,7.8139343,-5.2583923,-1.0182953,,
6.103745785,7.837738,-5.2607727,-1.0468597,,
6.108369913,7.818695,-5.24411,-1.0659027,,
6.113230791,7.8353577,-5.2917175,-1.1111298,,
6.117899742,7.844879,-5.24411,-1.0635223,,
6.122449722,7.844879,-5.2536316,-1.1325531,,
6.127136793,7.8210754,-5.263153,-1.0349579,,
6.132272806,7.818695,-5.2774353,-1.0801849,,
6.13696393,7.830597,-5.2345886,-1.042099,,
6.141712751,7.823456,-5.275055,-1.0040131,,
6.146393862,7.823456,-5.2536316,-1.1277924,,
6.151418772,7.806793,-5.2345886,-1.0111542,,
6.156099882,7.7877502,-5.2583923,-1.1039886,,
6.160816755,7.825836,-5.2131653,-1.087326,,
6.165526953,7.825836,-5.2131653,-1.087326,,
6.170950737,7.806793,-5.282196,-1.042099,,
6.175753918,7.8210754,-5.256012,-1.1301727,,
