Time, step_count
10.5707991123,1
11.0313260555,2
11.6589291096,3
12.1723620892,4
12.7123279762,5
13.2256570053,6
13.7793848705,7
14.2870996666,8
14.8330736828,9
15.3464427662,10
15.8603966904,11
16.387940712,12
16.9488116455,13
17.4487677765,14
17.980793829,15
18.5009008598,16
19.0527306747,17
19.5601056767,18
20.0944856358,19
20.5969346714,20
21.1704727364,21
21.9301418018,22
22.7751496983,23
23.378043766,24
23.9000078392,25
24.5068186474,26
25.1561738205,27
25.6025747013,28
26.1173876476,29
26.7098077488,30
27.2215777588,31
27.810836668,32
28.3149846745,33
28.9377047729,34
29.4626335812,35
30.0422277164,36
30.6563108444,37
31.2163997173,38
31.8523749352,39
44.3079257393,40
44.7258737469,41
45.2761676693,42
45.8523247623,43
46.3697507763,44
46.9005978489,45
47.4434597874,46
47.954555788,47
48.4970777416,48
49.0229096794,49
49.6312737846,50
50.0927737141,51
50.6415937328,52
51.1807897472,53
51.7212777519,54
52.3526888275,55
52.7834637547,56
53.2847197437,57
53.84453372,58
54.3747496986,59
55.0121996784,60
55.4303918266,61
55.9649327183,62
56.4889066601,63
57.0213137054,64
57.5320187283,65
58.0912907791,66
58.5683287048,67
59.1202357674,68
59.646019783,69
60.2304926777,70
60.8812256718,71
61.2831447983,72
61.7875268078,73
62.3501576996,74
62.8863317585,75
63.5528287506,76
64.2545797443,77
65.0698988056,78
79.6107146931,79
80.1129217339,80
80.7294676495,81
81.3298967075,82
81.9404456806,83
82.4356317711,84
82.8836176586,85
83.4081428242,86
83.9533958626,87
84.5991518688,88
85.0048797321,89
85.5349757862,90
86.0744676781,91
86.5971048069,92
87.1398518276,93
87.6701515102,94
88.2006664848,95
88.7414944744,96
89.3999055004,97
89.9041154957,98
104.72130662,99
105.411448536,100
105.974942503,101
106.522243557,102
107.069040594,103
107.592216549,104
108.206801472,105
108.641846476,106
109.160195408,107
109.710815487,108
110.200592575,109
110.749722538,110
111.405795631,111
111.814552603,112
112.418888626,113
112.923351583,114
113.51125144,115
114.066685429,116
114.743980398,117
115.198290339,118
