Time, x, y, z,,,,,,,,,,,,
5.669531107,-0.655426,-9.628754,-0.4398651,,,,,,,,,,,,
5.675997972,-0.6387634,-9.619232,-0.4398651,,,,,,,,,,,,
5.683166027,-0.6268616,-9.623993,-0.45176697,,,,,,,,,,,,
5.690104961,-0.6411438,-9.635895,-0.49699402,,,,,,,,,,,,
5.697060108,-0.6268616,-9.619232,-0.42796326,,,,,,,,,,,,
5.704076052,-0.65304565,-9.571625,-0.47080994,,,,,,,,,,,,
5.711085081,-0.66018677,-9.612091,-0.3589325,,,,,,,,,,,,
5.718124151,-0.6316223,-9.531158,-0.37083435,,,,,,,,,,,,
5.731843948,-0.66018677,-9.557343,-0.4089203,,,,,,,,,,,,
5.739850998,-0.63638306,-9.54068,-0.35179138,,,,,,,,,,,,
5.746566057,-0.6244812,-9.609711,-0.44462585,,,,,,,,,,,,
5.753134012,-0.6411438,-9.650177,-0.37797546,,,,,,,,,,,,
5.761013985,-0.6387634,-9.633514,-0.39701843,,,,,,,,,,,,
5.767673969,-0.6506653,-9.628754,-0.37083435,,,,,,,,,,,,
5.77422595,-0.6649475,-9.628754,-0.36845398,,,,,,,,,,,,
5.780699968,-0.7149353,-9.566864,-0.45176697,,,,,,,,,,,,
5.787358046,-0.6887512,-9.631134,-0.4160614,,,,,,,,,,,,
5.794328928,-0.6816101,-9.564484,-0.41844177,,,,,,,,,,,,
5.800807953,-0.72683716,-9.569244,-0.33512878,,,,,,,,,,,,
5.807446003,-0.72683716,-9.590668,-0.37083435,,,,,,,,,,,,
5.815348148,-0.674469,-9.588287,-0.43510437,,,,,,,,,,,,
5.821913958,-0.7149353,-9.6406555,-0.4160614,,,,,,,,,,,,
5.828381062,-0.66256714,-9.545441,-0.35179138,,,,,,,,,,,,
5.842798948,-0.66018677,-9.578766,-0.3660736,,,,,,,,,,,,
5.849308014,-0.71017456,-9.574005,-0.4160614,,,,,,,,,,,,
5.855857134,-0.67922974,-9.521637,-0.3660736,,,,,,,,,,,,
5.863433123,-0.6649475,-9.593048,-0.32798767,,,,,,,,,,,,
5.869998932,-0.6578064,-9.600189,-0.32798767,,,,,,,,,,,,
5.876559973,-0.6673279,-9.574005,-0.45176697,,,,,,,,,,,,
5.883660078,-0.6720886,-9.583527,-0.4232025,,,,,,,,,,,,
5.890211105,-0.63638306,-9.595428,-0.38987732,,,,,,,,,,,,
5.897032976,-0.6649475,-9.619232,-0.40415955,,,,,,,,,,,,
5.904613972,-0.72683716,-9.581146,-0.34703064,,,,,,,,,,,,
5.911261082,-0.7173157,-9.595428,-0.37321472,,,,,,,,,,,,
5.917853117,-0.6887512,-9.590668,-0.3327484,,,,,,,,,,,,
5.932278156,-0.6911316,-9.571625,-0.4255829,,,,,,,,,,,,
