x,y,z,s
2.18679190368e-06,2.03925746525e-07,-0.0,0.999999999998
0.00203843962277,7.45783938498e-05,0.000354972504798,0.999997856596
0.00410688523972,0.00025736448835,0.000301404717776,0.99999148817
0.00622885589655,0.000572426136037,-0.000526127487636,0.999980298242
0.00846907043189,0.0012123960586,-0.00171743611407,0.999961926953
0.0105150763592,0.00185642499903,-0.00334950759222,0.999937381867
0.0121185576532,0.00217040356988,-0.00516709802424,0.999910861531
0.0133540703802,0.00207806143322,-0.00703184337123,0.999883945088
0.0142459312788,0.00206313122679,-0.00887334810524,0.999857020091
0.0143737361717,0.00198906011793,-0.0106173445163,0.999838342605
0.0139060240147,0.0015213189069,-0.0122260373921,0.999827401152
0.0139796637257,0.00137233668404,-0.0140246105484,0.999802978588
0.0149739134356,0.00258289701035,-0.0170313968693,0.999739487107
0.0176603947515,0.00418955906982,-0.021122237698,0.999612129342
0.021594383976,0.00418065539683,-0.0248049237186,0.99945030915
0.0250088051201,0.00308552881422,-0.0279278607907,0.999292286456
0.0256042004046,0.00267913760369,-0.0304670329786,0.999204186863
0.0207013728502,0.0024735904361,-0.0317640014711,0.999277930669
0.0134051107275,0.00140601556505,-0.0324602927535,0.999382136883
0.00748951996345,0.000788675873768,-0.0331611513808,0.999421644312
0.00360093171842,0.00125369423258,-0.0335960972724,0.999428218428
0.000621998447067,0.00157007196115,-0.0341289549357,0.999416010692
-0.00283386755189,0.0017951747177,-0.0348112718703,0.999388273842
-0.00633917034145,0.00247297914765,-0.035859813649,0.999333664528
-0.0092216375004,0.00430209289006,-0.0368414898283,0.99926931206
-0.016491142038,0.00603756784608,-0.0386176306161,0.999099729063
-0.0279590504078,0.00792080348304,-0.0399128518146,0.998780514744
-0.0356425319492,0.00991358903772,-0.0396069168494,0.998530231293
-0.0423030147368,0.0106249927015,-0.0384585661036,0.998307819847
-0.0501472892845,0.0104933738325,-0.0363975117225,0.998023225994
-0.0559468290399,0.0106759334518,-0.0332666532676,0.997822282045
-0.0598088079461,0.0101414548913,-0.0296774723677,0.997717046571
-0.0644946525435,0.0114302468539,-0.0261000204016,0.99751119201
