time,ax,ay,az,gx,gy,gz,mx,my,mz
1.466619601783834E18,-0.3648529,3.848297,8.506287,-0.002456665,-0.0105896,-0.034179688,-15.660477,-3.3966064,-37.879944
1.4666196018039757E18,-0.31852722,3.8313751,8.552628,-0.043045044,-0.023406982,-0.039520264,-15.574455,-3.2255173,-37.879944
1.4666196018241172E18,-0.26905823,3.7843933,8.830124,-0.033432007,-0.034088135,-0.054473877,-15.660477,-3.140068,-37.879944
1.4666196018442588E18,-0.28971863,3.7562256,8.792175,-0.007797241,-0.029815674,-0.059814453,-15.746689,-3.3111572,-37.712288
1.4666196018644004E18,-0.33058167,3.8273315,8.721069,-0.027023315,-0.03729248,-0.048065186,-15.660477,-3.3966064,-37.79621
1.466619601884542E18,-0.3907013,3.8180084,8.807022,-0.031295776,-0.030883789,-0.04699707,-15.402031,-3.3966064,-37.79621
1.4666196019046838E18,-0.46064758,3.8029327,8.860413,-0.012069702,-0.015930176,-0.033111572,-15.3160095,-3.3966064,-37.628746
1.4666196019248253E18,-0.38401794,3.8240967,8.863022,-0.006729126,0.08340454,-0.039520264,-15.402222,-3.3111572,-37.628746
1.466619601944967E18,-0.26753235,3.8808594,8.81282,-0.024887085,0.1368103,-0.08117676,-15.488243,-2.8835297,-37.628746
1.4666196019651085E18,-0.6330719,3.7387848,8.76178,-0.0035247803,0.046020508,-0.06729126,-15.660477,-2.8835297,-37.628746
1.46661960198525E18,-0.61213684,3.9445343,8.75238,0.024246216,-0.06719971,-0.016021729,-15.574455,-2.6268005,-37.628746
1.4666196020053916E18,-0.454422,3.866562,8.519211,-0.02381897,0.025726318,-0.030975342,-15.402031,-2.5413513,-37.71267
1.4666196020255332E18,-0.4549713,3.8562164,8.542511,-0.096450806,0.18167114,-0.03845215,-15.574455,-2.455902,-37.71267
1.4666196020406395E18,-0.45140076,3.9434814,8.817078,-0.1028595,0.15496826,-0.0491333,-15.832901,-2.6269913,-37.796402
1.4666196020658166E18,-0.578125,3.941269,9.02356,0.011428833,-0.06185913,-0.037384033,-15.746689,-2.9691696,-37.71267
1.4666196020859581E18,-0.43548584,3.958908,8.81282,0.052017212,-0.12808228,-0.0491333,-15.574265,-2.8835297,-37.628937
1.4666196021060997E18,-0.41610718,4.0581512,8.5477295,0.029586792,-0.0736084,-0.07904053,-15.574265,-3.0546188,-37.46128
1.4666196021262413E18,-0.703598,4.0551605,8.391327,-0.024887085,-0.08001709,-0.04058838,-15.402031,-3.1402588,-37.37755
1.4666196021463828E18,-0.49267578,4.122925,8.682907,-0.098587036,0.028930664,-0.028839111,-15.229797,-3.396988,-37.37755
1.4666196021665244E18,-0.37937927,4.1808624,8.9370575,-0.069747925,0.00970459,-0.072631836,-15.402222,-3.311348,-37.46128
1.466619602186666E18,-0.42694092,4.1068573,8.970688,0.08406067,-0.17080688,-0.06729126,-15.3160095,-3.3967972,-37.545013
1.4666196022068076E18,-0.54837036,4.1286163,8.591003,0.15455627,-0.21566772,-0.0843811,-15.229797,-3.3967972,-37.545013
1.4666196022269494E18,-0.6598053,4.100479,8.193954,0.07444763,-0.1366272,-0.090789795,-15.574455,-3.1402588,-37.71248
1.466619602247091E18,-0.678421,4.157074,8.188675,-0.016342163,0.018249512,-0.113220215,-15.574455,-3.396988,-37.71248
1.4666196022672325E18,-0.5722351,4.2066345,8.357162,-0.14024353,0.20516968,-0.10787964,-15.229988,-3.396988,-37.71248
1.466619602287374E18,-0.9044342,4.0400085,8.720169,-0.10392761,0.14428711,-0.12710571,-15.3160095,-3.396988,-37.628746
1.4666196023075156E18,-1.100296,3.9883575,8.484024,-0.0013885498,-0.03729248,-0.07156372,-15.574265,-3.311348,-37.544823
1.4666196023276572E18,-1.0225372,4.0034943,7.9764404,-0.015274048,-0.028747559,-0.02029419,-15.574265,-3.311348,-37.2097
1.4666196023477988E18,-0.8897095,3.9093475,7.9239655,-0.10713196,0.0032958984,-0.02456665,-15.660477,-3.311348,-37.042046
1.4666196023679406E18,-0.858963,3.628357,8.168869,-0.16053772,0.03640747,0.02243042,-15.574455,-3.225708,-36.958313
1.4666196023880822E18,-0.90270996,3.4647675,8.384476,-0.112472534,0.05670166,0.12283325,-15.402031,-3.225708,-36.706924
1.4666196024082237E18,-0.8857422,3.4337616,8.176987,-0.043045044,0.078063965,0.19546509,-15.660477,-2.8835297,-36.87439
1.4666196024283653E18,-0.23016357,3.6977081,7.929901,0.142807,0.20196533,0.13137817,-15.918922,-2.8835297,-36.87439
1.466619602448507E18,0.37661743,3.9268494,6.8835297,0.0861969,0.23614502,-0.058746338,-15.832901,-2.968979,-37.125587
1.4666196024686484E18,0.5877075,3.9142303,6.474167,-0.19044495,0.319458,-0.3161621,-15.74688,-3.140068,-37.20951
1.46661960248879E18,0.50520325,3.8584595,5.844635,-0.6988678,-0.0105896,-0.42190552,-15.74688,-3.0546188,-37.4609
1.4666196025089316E18,0.08721924,3.9376984,6.8588257,-1.2681732,-0.2284851,-0.4902649,-15.488434,-2.5413513,-37.628555
1.4666196025290734E18,-0.50590515,3.7563934,8.790604,-1.3151703,-0.019134521,-0.42297363,-15.660667,-2.0280838,-37.712288
1.466619602549215E18,-0.25395203,3.6165771,9.456116,-1.1752472,0.23400879,-0.3503418,-15.574646,-1.6859055,-37.879944
1.4666196025693565E18,-0.9577942,3.7322235,9.738159,-1.1335907,0.20516968,-0.23712158,-14.885521,-1.3437271,-37.79621
1.466619602589498E18,-1.2964783,3.5440063,10.835129,-0.94132996,-0.09176636,0.06088257,-15.0577545,-0.6593704,-37.880135
1.4666196026096397E18,-0.7628479,3.6127014,10.954208,-0.6305084,-0.06719971,0.10574341,-15.0577545,0.19607544,-37.37755
1.4666196026297812E18,-0.50416565,3.7581482,10.498611,-0.30793762,-0.16760254,0.12283325,-15.0577545,1.2226105,-37.71267
1.4666196026499228E18,-0.6999054,3.486374,8.880997,-0.12635803,-0.38336182,0.15914917,-14.971542,2.0780563,-37.880135
1.4666196026700646E18,-0.48565674,3.5823212,7.916275,-0.3335724,-0.32461548,0.2381897,-15.143776,2.505684,-37.880135
1.4666196026902062E18,0.019638062,3.6781158,8.056747,-0.46922302,-0.25305176,0.17944336,-14.971542,3.0189514,-37.963867
1.4666196027103478E18,0.44284058,3.7337189,8.326401,-0.5076752,-0.35131836,-0.0021362305,-14.971542,3.617859,-38.0476
1.4666196027304893E18,0.93266296,3.712677,9.83046,-0.27268982,0.017181396,-0.29159546,-15.3162,4.2167664,-37.79621
1.466619602750631E18,-0.07598877,3.1799927,9.811157,0.1278534,0.0075683594,-0.43151855,-15.3162,4.730034,-37.963676
1.4666196027707725E18,-1.1403961,3.4012756,8.898071,0.2613678,-0.020202637,-0.23071289,-15.488434,4.9865723,-38.466263
1.466619602790914E18,-1.2088623,3.6761627,8.3233185,0.19728088,0.06951904,0.043792725,-15.660667,5.1576614,-38.13114
1.4666196028110556E18,-0.22138977,4.1552734,8.673813,0.12998962,0.115448,0.10787964,-15.74688,5.49984,-38.04741
1.4666196028311974E18,-0.04574585,4.342346,8.825684,0.109695435,0.08874512,0.023498535,-15.660667,5.670929,-37.963676
1.466619602851339E18,0.3131714,4.3064423,9.0616,0.21650696,0.057769775,-0.08758545,-15.746689,5.585289,-37.712288
1.4666196028765158E18,-0.18554688,4.5210724,8.581116,0.23466492,0.14108276,-0.26489258,-15.746689,5.4142,-37.79602
1.4666196028916221E18,-0.5372772,4.5042877,8.520554,0.02104187,0.21157837,-0.21148682,-15.746689,4.9009323,-38.38253
1.4666196029117637E18,-0.42129517,4.491806,9.919098,-0.12528992,0.291687,-0.111083984,-15.746689,4.558754,-38.466263
1.4666196029319053E18,0.20187378,4.0385437,11.1688385,0.10328674,0.5491028,-0.13565063,-15.574455,4.1311264,-38.38253
1.4666196029520468E18,0.32061768,4.107376,11.142349,0.25068665,0.56192017,-0.22964478,-15.488243,3.703308,-38.633728
1.4666196029721884E18,-0.10359192,4.4252777,11.164581,0.27952576,0.24041748,-0.3994751,-15.229797,3.1900406,-39.136505
1.4666196029923302E18,-1.2473297,4.7286987,10.578506,0.30088806,0.07699585,-0.39093018,-15.057564,2.8478622,-39.471626
1.4666196030124718E18,-1.7372589,4.4479218,10.968903,0.2058258,0.03640747,-0.113220215,-14.88533,2.505684,-39.974403
1.4666196030326134E18,-1.3462372,4.597702,11.343201,0.14173889,0.18167114,0.4347229,-14.88533,2.2489548,-40.393448
1.466619603052755E18,-0.5170746,4.4927826,11.410263,0.21543884,0.2842102,0.43258667,-14.799118,2.0778656,-40.225792
1.4666196030728965E18,-0.55152893,3.7779083,11.155045,0.38313293,0.020385742,0.22857666,-14.626884,1.7356873,-40.309715
1.466619603093038E18,-1.4155731,2.694748,10.825638,0.5550995,-0.26586914,0.115356445,-14.626884,1.6500473,-40.47737
1.4666196031131796E18,-1.9094086,1.8890991,10.07608,0.7858124,-0.54678345,0.23284912,-14.540863,1.1367798,-40.561295
1.4666196031333215E18,-1.7128448,1.7687836,8.826248,0.6960907,-0.49978638,0.33859253,-14.799309,0.7091522,-40.225983
1.466619603153463E18,-1.560318,1.8234558,8.410736,0.6608429,-0.34170532,0.38772583,-15.0577545,0.110435486,-40.14206
1.4666196031736046E18,-1.4766235,2.0705872,7.4843597,0.6597748,-0.3619995,0.38024902,-15.574646,-0.23174286,-40.058327
