Time, x, y, z,,,,,,,,,,,,,,,,,,,,,
8.844401808,2.298,9.347,-1.532,,,,,,,,,,,,,,,,,,,,,
8.853919716,2.298,9.347,-1.532,,,,,,,,,,,,,,,,,,,,,
8.863676758,2.298,9.347,-1.532,,,,,,,,,,,,,,,,,,,,,
8.873118849,2.298,9.347,-1.532,,,,,,,,,,,,,,,,,,,,,
8.882823677,2.298,9.347,-1.532,,,,,,,,,,,,,,,,,,,,,
8.892181845,2.298,9.347,-1.532,,,,,,,,,,,,,,,,,,,,,
8.901801796,2.298,9.347,-1.532,,,,,,,,,,,,,,,,,,,,,
8.911260815,2.298,9.347,-1.532,,,,,,,,,,,,,,,,,,,,,
8.920872898,2.298,9.347,-1.532,,,,,,,,,,,,,,,,,,,,,
8.930282803,2.298,9.347,-1.532,,,,,,,,,,,,,,,,,,,,,
8.942980738,2.298,9.347,-1.532,,,,,,,,,,,,,,,,,,,,,
8.952338905,2.298,9.347,-1.532,,,,,,,,,,,,,,,,,,,,,
8.962061853,2.298,9.347,-1.532,,,,,,,,,,,,,,,,,,,,,
8.971496792,2.298,9.347,-1.532,,,,,,,,,,,,,,,,,,,,,
8.982433767,2.298,9.347,-1.532,,,,,,,,,,,,,,,,,,,,,
8.993372889,2.298,9.347,-1.532,,,,,,,,,,,,,,,,,,,,,
9.009985895,1.072,10.113,-1.072,,,,,,,,,,,,,,,,,,,,,
9.025798769,1.072,10.113,-1.072,,,,,,,,,,,,,,,,,,,,,
9.05086586,1.072,10.113,-1.072,,,,,,,,,,,,,,,,,,,,,
9.074720831,1.072,10.113,-1.072,,,,,,,,,,,,,,,,,,,,,
9.104084702,1.072,10.113,-1.072,,,,,,,,,,,,,,,,,,,,,
9.125899763,1.072,10.113,-1.072,,,,,,,,,,,,,,,,,,,,,
9.151474686,1.072,10.113,-1.072,,,,,,,,,,,,,,,,,,,,,
9.169099779,1.072,10.113,-1.072,,,,,,,,,,,,,,,,,,,,,
9.178618879,1.072,10.113,-1.072,,,,,,,,,,,,,,,,,,,,,
9.702310772,1.072,10.113,-1.072,,,,,,,,,,,,,,,,,,,,,
9.712626905,1.072,9.194,-0.306,,,,,,,,,,,,,,,,,,,,,
9.747801752,1.072,9.194,-0.306,,,,,,,,,,,,,,,,,,,,,
9.798870773,1.072,9.194,-0.306,,,,,,,,,,,,,,,,,,,,,
9.81924984,1.072,9.194,-0.306,,,,,,,,,,,,,,,,,,,,,
9.845767708,1.072,9.194,-0.306,,,,,,,,,,,,,,,,,,,,,
9.890556784,1.072,9.194,-0.306,,,,,,,,,,,,,,,,,,,,,
9.924242706,1.072,9.194,-0.306,,,,,,,,,,,,,,,,,,,,,
9.955463858,1.072,9.194,-0.306,,,,,,,,,,,,,,,,,,,,,
9.984070749,1.072,9.194,-0.306,,,,,,,,,,,,,,,,,,,,,
10.01687381,1.072,9.194,-0.306,,,,,,,,,,,,,,,,,,,,,
10.05244872,1.379,10.113,-1.838,,,,,,,,,,,,,,,,,,,,,
10.07807586,1.379,10.113,-1.838,,,,,,,,,,,,,,,,,,,,,
10.10604879,1.379,10.113,-1.838,,,,,,,,,,,,,,,,,,,,,
10.13791582,1.379,10.113,-1.838,,,,,,,,,,,,,,,,,,,,,
10.16730473,1.379,10.113,-1.838,,,,,,,,,,,,,,,,,,,,,
10.60707367,1.379,10.113,-1.838,,,,,,,,,,,,,,,,,,,,,
10.62807573,1.379,9.5,-1.225,,,,,,,,,,,,,,,,,,,,,
10.65092172,1.379,9.5,-1.225,,,,,,,,,,,,,,,,,,,,,
10.68226875,1.379,9.5,-1.225,,,,,,,,,,,,,,,,,,,,,
10.71128572,1.379,9.5,-1.225,,,,,,,,,,,,,,,,,,,,,
10.74190868,1.379,9.5,-1.225,,,,,,,,,,,,,,,,,,,,,
10.76759161,1.379,9.5,-1.225,,,,,,,,,,,,,,,,,,,,,
10.79110469,1.379,9.5,-1.225,,,,,,,,,,,,,,,,,,,,,
10.81766476,1.379,9.5,-1.225,,,,,,,,,,,,,,,,,,,,,
10.84362258,1.379,9.5,-1.225,,,,,,,,,,,,,,,,,,,,,
10.85316862,1.379,9.5,-1.225,,,,,,,,,,,,,,,,,,,,,
10.86254968,1.379,9.5,-1.225,,,,,,,,,,,,,,,,,,,,,
10.87420072,1.379,9.5,-1.225,,,,,,,,,,,,,,,,,,,,,
10.89440454,1.379,9.5,-1.225,,,,,,,,,,,,,,,,,,,,,
10.91852154,1.379,9.5,-1.225,,,,,,,,,,,,,,,,,,,,,
10.94540657,1.379,9.5,-1.225,,,,,,,,,,,,,,,,,,,,,
10.96696247,1.379,9.5,-1.225,,,,,,,,,,,,,,,,,,,,,
10.9963447,1.379,9.5,-1.225,,,,,,,,,,,,,,,,,,,,,
11.02370562,0.919,10.266,-1.225,,,,,,,,,,,,,,,,,,,,,
11.05521955,0.919,10.266,-1.225,,,,,,,,,,,,,,,,,,,,,
11.07606949,0.919,10.266,-1.225,,,,,,,,,,,,,,,,,,,,,
11.10574354,0.919,10.266,-1.225,,,,,,,,,,,,,,,,,,,,,
11.13261451,0.919,10.266,-1.225,,,,,,,,,,,,,,,,,,,,,
11.14893664,0.919,10.266,-1.225,,,,,,,,,,,,,,,,,,,,,
11.15960659,0.919,10.266,-1.225,,,,,,,,,,,,,,,,,,,,,
11.18023457,0.919,10.266,-1.225,,,,,,,,,,,,,,,,,,,,,
