time,deviceID,height,location,ax,ay,az,gx,gy,gz,mx,my,mz
1470430110840466270,1749368951,,,-0.1057586669921875,9.83062744140625,-0.20654296875,0.0502777099609375,0.117340087890625,-0.0560455322265625,-13.458251953125,-48.01025390625,20.6298828125,
1470430110845501670,1749368951,,,-0.1368560791015625,9.84625244140625,-0.1596221923828125,0.0375213623046875,0.096343994140625,-0.0530242919921875,-13.458251953125,-48.01025390625,20.6298828125,
1470430110850537071,1749368951,,,-0.208038330078125,9.845840454101563,-0.0608062744140625,0.0264892578125,0.0766143798828125,-0.0487823486328125,-13.458251953125,-48.01025390625,20.6298828125,
1470430110845501670,1749368951,,,-0.208038330078125,9.845840454101563,-0.0608062744140625,0.0264892578125,0.0766143798828125,-0.0487823486328125,-13.99688720703125,-48.01025390625,20.36590576171875,
1470430110855572471,1749368951,,,-0.2005462646484375,9.814437866210938,-0.0809326171875,0.021087646484375,0.059417724609375,-0.0438079833984375,-13.99688720703125,-48.01025390625,20.36590576171875,
1470430110860607872,1749368951,,,-0.2077789306640625,9.737838745117188,0.0143890380859375,0.01739501953125,0.045013427734375,-0.037078857421875,-13.99688720703125,-48.01025390625,20.36590576171875,
1470430110865643272,1749368951,,,-0.1695556640625,9.697341918945313,0.0723419189453125,0.01824951171875,0.0361480712890625,-0.0326385498046875,-13.99688720703125,-48.01025390625,20.36590576171875,
1470430110870678672,1749368951,,,-0.1632080078125,9.718795776367188,-0.0037689208984375,0.021392822265625,0.030609130859375,-0.0252227783203125,-13.99688720703125,-48.01025390625,20.36590576171875,
1470430110865643272,1749368951,,,-0.1632080078125,9.718795776367188,-0.0037689208984375,0.021392822265625,0.030609130859375,-0.0252227783203125,-13.63525390625,-49.10736083984375,20.95489501953125,
1470430110875714073,1749368951,,,-0.2118377685546875,9.698623657226563,0.0285797119140625,0.0246124267578125,0.026275634765625,-0.02081298828125,-13.63525390625,-49.10736083984375,20.95489501953125,
1470430110880749473,1749368951,,,-0.1943511962890625,9.70977783203125,0.0014190673828125,0.0278472900390625,0.024078369140625,-0.015472412109375,-13.63525390625,-49.10736083984375,20.95489501953125,
1470430110885784874,1749368951,,,-0.14361572265625,9.6793212890625,0.0425262451171875,0.0337982177734375,0.0230560302734375,-0.011444091796875,-13.63525390625,-49.10736083984375,20.95489501953125,
1470430110890820274,1749368951,,,-0.060699462890625,9.690963745117188,-0.068145751953125,0.0407257080078125,0.02191162109375,-0.007904052734375,-13.63525390625,-49.10736083984375,20.95489501953125,
1470430110885784874,1749368951,,,-0.060699462890625,9.690963745117188,-0.068145751953125,0.0407257080078125,0.02191162109375,-0.007904052734375,-13.38653564453125,-49.615478515625,21.04339599609375,
1470430110895855674,1749368951,,,-0.089019775390625,9.7572021484375,-0.06353759765625,0.0493011474609375,0.0208282470703125,-0.004669189453125,-13.38653564453125,-49.615478515625,21.04339599609375,
1470430110900891075,1749368951,,,-0.04888916015625,9.691131591796875,-0.0903167724609375,0.0568389892578125,0.01861572265625,-0.0014190673828125,-13.38653564453125,-49.615478515625,21.04339599609375,
1470430110905926475,1749368951,,,-0.0556793212890625,9.705154418945313,-0.1539459228515625,0.065399169921875,0.012176513671875,0.00396728515625,-13.3453369140625,-49.65667724609375,21.002197265625,
1470430110910961875,1749368951,,,-0.040924072265625,9.70068359375,-0.2882080078125,0.065399169921875,0.012176513671875,0.00396728515625,-13.3453369140625,-49.65667724609375,21.002197265625,
1470430110915997276,1749368951,,,-0.016510009765625,9.70733642578125,-0.3237152099609375,0.065399169921875,0.012176513671875,0.00396728515625,-13.3453369140625,-49.65667724609375,21.002197265625,
1470430110910961875,1749368951,,,-0.016510009765625,9.70733642578125,-0.3237152099609375,0.07171630859375,0.005584716796875,0.010406494140625,-13.3453369140625,-49.65667724609375,21.002197265625,
1470430110915997276,1749368951,,,-0.016510009765625,9.70733642578125,-0.3237152099609375,0.072723388671875,-0.0043792724609375,0.0153961181640625,-13.3453369140625,-49.65667724609375,21.002197265625,
1470430110921032676,1749368951,,,-0.037750244140625,9.679428100585938,-0.412139892578125,0.07025146484375,-0.017059326171875,0.02447509765625,-13.3453369140625,-49.65667724609375,21.002197265625,
1470430110926068077,1749368951,,,-0.00201416015625,9.742507934570313,-0.4473114013671875,0.061431884765625,-0.028656005859375,0.031982421875,-13.8427734375,-48.65264892578125,21.24481201171875,
1470430110931103477,1749368951,,,0.027740478515625,9.768783569335938,-0.5814208984375,0.049346923828125,-0.03509521484375,0.038299560546875,-13.8427734375,-48.65264892578125,21.24481201171875,
1470430110936138877,1749368951,,,0.07244873046875,9.759048461914063,-0.571044921875,0.0333099365234375,-0.0416107177734375,0.0425872802734375,-13.8427734375,-48.65264892578125,21.24481201171875,
1470430110941174278,1749368951,,,0.10321044921875,9.777252197265625,-0.6100006103515625,0.0181121826171875,-0.0489501953125,0.04693603515625,-13.8427734375,-48.65264892578125,21.24481201171875,
1470430110946209678,1749368951,,,0.0994873046875,9.752914428710938,-0.565460205078125,0.0010986328125,-0.0539398193359375,0.0519256591796875,-13.6199951171875,-47.95989990234375,21.197509765625,
1470430110951245079,1749368951,,,0.2052459716796875,9.7645263671875,-0.5262603759765625,-0.016082763671875,-0.0548095703125,0.0530853271484375,-13.6199951171875,-47.95989990234375,21.197509765625,
1470430110956280479,1749368951,,,0.204925537109375,9.789703369140625,-0.3858795166015625,-0.0298004150390625,-0.0525665283203125,0.053558349609375,-13.6199951171875,-47.95989990234375,21.197509765625,
1470430110961315879,1749368951,,,0.2638397216796875,9.826339721679688,-0.31268310546875,-0.0415191650390625,-0.049072265625,0.0476531982421875,-13.6199951171875,-47.95989990234375,21.197509765625,
1470430110966351280,1749368951,,,0.252227783203125,9.84246826171875,-0.3670806884765625,-0.050445556640625,-0.0439453125,0.038360595703125,-13.507080078125,-47.845458984375,21.160888671875,
1470430110971386680,1749368951,,,0.2603759765625,9.836166381835938,-0.2326507568359375,-0.0536346435546875,-0.0408782958984375,0.0319671630859375,-13.507080078125,-47.845458984375,21.160888671875,
1470430110976422081,1749368951,,,0.25750732421875,9.833892822265625,-0.2352752685546875,-0.0564727783203125,-0.0388031005859375,0.0258941650390625,-13.507080078125,-47.845458984375,21.160888671875,
1470430110981457481,1749368951,,,0.2449493408203125,9.792022705078125,-0.23883056640625,-0.0567626953125,-0.0362091064453125,0.0180816650390625,-13.507080078125,-47.845458984375,21.160888671875,
1470430110986492881,1749368951,,,0.25634765625,9.781356811523438,-0.20068359375,-0.058929443359375,-0.0391387939453125,0.013153076171875,-13.38043212890625,-49.2706298828125,21.5362548828125,
1470430110991528282,1749368951,,,0.2813873291015625,9.770751953125,-0.175140380859375,-0.0605926513671875,-0.039886474609375,0.0110015869140625,-13.38043212890625,-49.2706298828125,21.5362548828125,
1470430110996563682,1749368951,,,0.2518768310546875,9.78753662109375,-0.1302642822265625,-0.0598602294921875,-0.0388031005859375,0.009185791015625,-13.38043212890625,-49.2706298828125,21.5362548828125,
1470430111001599082,1749368951,,,0.2599029541015625,9.771331787109375,-0.103302001953125,-0.0610809326171875,-0.03790283203125,0.009033203125,-13.38043212890625,-49.2706298828125,21.5362548828125,
1470430111006634483,1749368951,,,0.2866058349609375,9.780899047851563,-0.09222412109375,-0.0630035400390625,-0.037567138671875,0.0080108642578125,-13.2171630859375,-49.78790283203125,22.5189208984375,
1470430111011669883,1749368951,,,0.3179473876953125,9.7779541015625,-0.134796142578125,-0.0639495849609375,-0.03411865234375,0.0066680908203125,-13.2171630859375,-49.78790283203125,22.5189208984375,
1470430111016705284,1749368951,,,0.2818450927734375,9.786056518554688,-0.1243743896484375,-0.0641632080078125,-0.031494140625,0.004913330078125,-13.2171630859375,-49.78790283203125,22.5189208984375,
1470430111021740684,1749368951,,,0.2563323974609375,9.799041748046875,-0.0819549560546875,-0.065673828125,-0.031494140625,0.0042724609375,-13.2171630859375,-49.78790283203125,22.5189208984375,
1470430111026776084,1749368951,,,0.2466278076171875,9.815322875976563,-0.061431884765625,-0.0686798095703125,-0.031494140625,0.0012664794921875,-13.18206787109375,-49.82147216796875,22.747802734375,
