time,deviceID,height,location,ax,ay,az,gx,gy,gz,mx,my,mz
1470430934516173010,1749368951,,,-0.00579833984375,9.780029296875,-0.6447906494140625,-0.0294952392578125,-0.0015869140625,0.024658203125,19.5343017578125,-46.79718017578125,-8.1573486328125,
1470430934521208411,1749368951,,,0.012176513671875,9.766220092773438,-0.5787353515625,-0.0283660888671875,-0.0015869140625,0.0220489501953125,19.5343017578125,-46.79718017578125,-8.1573486328125,
1470430934526243811,1749368951,,,0.0367889404296875,9.784515380859375,-0.560028076171875,-0.02587890625,-0.0015869140625,0.0188140869140625,19.5343017578125,-46.79718017578125,-8.1573486328125,
1470430934531279211,1749368951,,,0.053955078125,9.793838500976563,-0.6051788330078125,-0.019378662109375,-0.0015869140625,0.0152130126953125,19.5343017578125,-46.79718017578125,-8.1573486328125,
1470430934536314612,1749368951,,,0.001922607421875,9.7694091796875,-0.69818115234375,-0.01190185546875,-0.0023345947265625,0.0105438232421875,19.84100341796875,-46.9940185546875,-8.07647705078125,
1470430934541350012,1749368951,,,-0.06121826171875,9.758468627929688,-0.78057861328125,-0.007354736328125,-0.00408935546875,0.005645751953125,19.84100341796875,-46.9940185546875,-8.07647705078125,
1470430934546385413,1749368951,,,-0.1225433349609375,9.745712280273438,-0.8246917724609375,-0.0058746337890625,-0.005462646484375,0.002777099609375,19.84100341796875,-46.9940185546875,-8.07647705078125,
1470430934551420813,1749368951,,,-0.139923095703125,9.755447387695313,-0.8834381103515625,-0.008941650390625,-0.00653076171875,0.0035858154296875,19.84100341796875,-46.9940185546875,-8.07647705078125,
1470430934556456213,1749368951,,,-0.134033203125,9.772796630859375,-0.88470458984375,-0.0140533447265625,-0.0050506591796875,0.004913330078125,18.6004638671875,-44.62738037109375,-8.477783203125,
1470430934561491614,1749368951,,,-0.139495849609375,9.786346435546875,-0.9020843505859375,-0.0217742919921875,-0.002899169921875,0.004913330078125,18.6004638671875,-44.62738037109375,-8.477783203125,
1470430934566527014,1749368951,,,-0.1353607177734375,9.77691650390625,-0.9136199951171875,-0.0314483642578125,-0.0011749267578125,0.005767822265625,18.6004638671875,-44.62738037109375,-8.477783203125,
1470430934571562415,1749368951,,,-0.1556243896484375,9.751663208007813,-0.882232666015625,-0.040863037109375,-5.18798828125E-4,0.0082550048828125,18.6004638671875,-44.62738037109375,-8.477783203125,
