time,deviceID,height,location,ax,ay,az,gx,gy,gz,mx,my,mz
1470430653138009723,1749368951,,,-0.2389678955078125,9.8037109375,-0.55712890625,-0.0052947998046875,-0.0089874267578125,0.015777587890625,1.06201171875,-55.047607421875,-6.60247802734375,
1470430653143045124,1749368951,,,-0.2108917236328125,9.842697143554688,-0.565826416015625,-0.0065765380859375,-0.0076141357421875,0.0179290771484375,1.06201171875,-55.047607421875,-6.60247802734375,
1470430653138009723,1749368951,,,-0.2108917236328125,9.842697143554688,-0.565826416015625,-0.0065765380859375,-0.0076141357421875,0.0179290771484375,0.2685546875,-54.72564697265625,-7.2235107421875,
1470430653148080524,1749368951,,,-0.2148895263671875,9.88055419921875,-0.5471954345703125,-0.009796142578125,-0.0032196044921875,0.0196685791015625,0.2685546875,-54.72564697265625,-7.2235107421875,
1470430653153115924,1749368951,,,-0.2311553955078125,9.851104736328125,-0.577239990234375,-0.0128936767578125,0.001739501953125,0.0176544189453125,0.2685546875,-54.72564697265625,-7.2235107421875,
1470430653158151325,1749368951,,,-0.2109222412109375,9.873825073242188,-0.619354248046875,-0.0186767578125,0.0052032470703125,0.015472412109375,0.2685546875,-54.72564697265625,-7.2235107421875,
1470430653163186725,1749368951,,,-0.2265167236328125,9.921859741210938,-0.561187744140625,-0.0239410400390625,0.00830078125,0.0143890380859375,0.2685546875,-54.72564697265625,-7.2235107421875,
1470430653158151325,1749368951,,,-0.2265167236328125,9.921859741210938,-0.561187744140625,-0.0239410400390625,0.00830078125,0.0143890380859375,0.78582763671875,-55.5999755859375,-7.391357421875,
1470430653168222125,1749368951,,,-0.20556640625,9.925888061523438,-0.5568695068359375,-0.0285491943359375,0.010009765625,0.0127105712890625,0.78582763671875,-55.5999755859375,-7.391357421875,
1470430653173257526,1749368951,,,-0.2031707763671875,9.947128295898438,-0.5129241943359375,-0.0345458984375,0.0089263916015625,0.00762939453125,0.78582763671875,-55.5999755859375,-7.391357421875,
1470430653178292926,1749368951,,,-0.1953125,9.923873901367188,-0.47412109375,-0.03741455078125,0.0081787109375,0.0042724609375,0.78582763671875,-55.5999755859375,-7.391357421875,
