Time, x, y, z,,,
14.14631497,0.612,0.306,9.807,,,
14.17504203,0.612,0.306,9.807,,,
14.20563995,0.306,-0.459,10.726,,,
14.23041403,0.306,-0.459,10.726,,,
14.25305211,0.306,-0.459,10.726,,,
14.29359996,0.306,-0.459,10.726,,,
14.32817614,0.306,-0.459,10.726,,,
14.34738314,0.306,-0.459,10.726,,,
14.55393111,0.306,-0.459,10.726,,,
14.58392512,0.306,-0.459,10.726,,,
14.60415804,0.306,-0.459,10.726,,,
14.63129413,0.306,-0.459,10.726,,,
14.64960491,0.306,-0.459,10.726,,,
14.68659007,0.306,-0.459,10.726,,,
14.717826,0.766,-0.459,10.573,,,
14.74822199,0.766,-0.459,10.573,,,
14.77615201,0.766,-0.459,10.573,,,
14.79859411,0.766,-0.459,10.573,,,
14.82309401,0.766,-0.459,10.573,,,
14.85115802,0.766,-0.459,10.573,,,
14.87781298,0.766,-0.459,10.573,,,
14.90373098,0.766,-0.459,10.573,,,
14.92699301,0.766,-0.459,10.573,,,
14.94680106,0.766,-0.459,10.573,,,
14.96938908,0.766,-0.459,10.573,,,
14.99916708,0.766,-0.459,10.573,,,
15.02022206,0.766,-0.459,10.573,,,
15.04104912,0.766,-0.459,10.573,,,
15.28555595,0.766,-0.459,10.573,,,
15.308802,0.766,0.306,9.04,,,
15.33058702,0.766,0.306,9.04,,,
15.35195195,0.766,0.306,9.04,,,
15.36697113,0.766,0.306,9.04,,,
15.39462006,0.766,0.306,9.04,,,
15.42067801,0.766,0.306,9.04,,,
15.44318497,0.766,0.306,9.04,,,
15.46651303,0.766,0.306,9.04,,,
15.5033251,0.766,0.306,9.04,,,
15.53062713,0.766,0.306,9.04,,,
15.55018103,0.766,0.306,9.04,,,
15.589594,0.766,0.306,9.04,,,
15.61965692,0.766,0.306,9.04,,,
15.64097297,0.766,0.306,9.04,,,
15.66516912,0.766,0.306,9.04,,,
15.69163906,0.766,0.306,9.04,,,
15.71628296,0.459,-0.153,10.573,,,
15.73913204,0.459,-0.153,10.573,,,
15.75099694,0.459,-0.153,10.573,,,
15.76162207,0.459,-0.153,10.573,,,
16.10448396,0.459,-0.153,10.573,,,
16.13055098,0.459,-0.153,10.573,,,
16.15134608,0.459,-0.153,10.573,,,
16.177796,0.459,-0.153,10.573,,,
16.20463597,0.459,-0.153,10.573,,,
16.22942006,0.766,-0.153,9.347,,,
16.24902999,0.766,-0.153,9.347,,,
16.27294313,0.766,-0.153,9.347,,,
16.30848705,0.766,-0.153,9.347,,,
16.33604609,0.766,-0.153,9.347,,,
16.35858714,0.766,-0.153,9.347,,,
16.38280904,0.766,-0.153,9.347,,,
16.40602505,0.766,-0.153,9.347,,,
16.429762,0.766,-0.153,9.347,,,
16.45910298,0.766,-0.153,9.347,,,
16.49699008,0.766,-0.153,9.347,,,
16.53121602,0.766,-0.153,9.347,,,
16.56557214,0.766,-0.153,9.347,,,
16.58244502,0.766,-0.153,9.347,,,
16.59227812,0.766,-0.153,9.347,,,
16.83324897,0.766,-0.153,9.347,,,
16.84716713,0.459,0.612,9.04,,,
16.873196,0.459,0.612,9.04,,,
16.90293896,0.459,0.612,9.04,,,
16.93103897,0.459,0.612,9.04,,,
16.95238506,0.459,0.612,9.04,,,
