Time, x, y, z,,,,,,,,,,,,,,,,,,
8.619117975,4.137,9.653,3.524,,,,,,,,,,,,,,,,,,
8.648259878,4.137,9.04,2.758,,,,,,,,,,,,,,,,,,
8.683830976,3.83,8.427,3.524,,,,,,,,,,,,,,,,,,
8.694850922,3.064,8.887,4.29,,,,,,,,,,,,,,,,,,
9.314174891,4.75,6.895,2.911,,,,,,,,,,,,,,,,,,
9.325598955,5.363,6.742,1.992,,,,,,,,,,,,,,,,,,
9.336757898,6.282,6.435,3.677,,,,,,,,,,,,,,,,,,
9.347248077,6.282,6.435,3.677,,,,,,,,,,,,,,,,,,
9.359025002,6.282,6.435,3.524,,,,,,,,,,,,,,,,,,
9.370545864,5.363,5.822,3.524,,,,,,,,,,,,,,,,,,
9.38300395,5.363,5.822,3.524,,,,,,,,,,,,,,,,,,
9.394438982,6.129,5.976,1.838,,,,,,,,,,,,,,,,,,
9.406503916,6.129,5.976,1.838,,,,,,,,,,,,,,,,,,
9.418216944,7.508,6.895,2.451,,,,,,,,,,,,,,,,,,
9.433393002,8.274,4.903,-0.306,,,,,,,,,,,,,,,,,,
9.444838047,8.887,4.597,0.459,,,,,,,,,,,,,,,,,,
9.456336975,8.887,4.597,0.459,,,,,,,,,,,,,,,,,,
9.468321085,10.266,4.137,-1.225,,,,,,,,,,,,,,,,,,
9.479974031,10.419,4.75,-0.612,,,,,,,,,,,,,,,,,,
9.492964983,10.419,4.75,-0.612,,,,,,,,,,,,,,,,,,
9.503961086,7.508,5.516,-1.379,,,,,,,,,,,,,,,,,,
9.516232014,7.508,5.516,-1.379,,,,,,,,,,,,,,,,,,
9.531239986,4.443,6.435,-2.145,,,,,,,,,,,,,,,,,,
9.542286873,4.903,6.435,-0.919,,,,,,,,,,,,,,,,,,
9.555599928,4.903,6.435,-0.919,,,,,,,,,,,,,,,,,,
9.568397045,7.508,5.516,-3.83,,,,,,,,,,,,,,,,,,
9.579861879,7.508,5.516,-3.83,,,,,,,,,,,,,,,,,,
9.591772079,7.048,6.589,-5.056,,,,,,,,,,,,,,,,,,
9.604333878,6.589,6.589,-4.137,,,,,,,,,,,,,,,,,,
9.616420031,6.742,6.589,-5.209,,,,,,,,,,,,,,,,,,
9.643682003,7.202,6.742,-4.137,,,,,,,,,,,,,,,,,,
9.666506052,7.814,6.742,-0.153,,,,,,,,,,,,,,,,,,
9.679161072,7.814,7.661,0.153,,,,,,,,,,,,,,,,,,
9.691436052,8.121,7.508,0.306,,,,,,,,,,,,,,,,,,
9.702905893,7.508,7.661,-3.064,,,,,,,,,,,,,,,,,,
9.715108871,7.508,7.661,-3.064,,,,,,,,,,,,,,,,,,
9.747879028,5.976,7.814,-3.371,,,,,,,,,,,,,,,,,,
9.761343956,7.508,8.121,-1.838,,,,,,,,,,,,,,,,,,
9.772706032,7.508,8.734,-2.145,,,,,,,,,,,,,,,,,,
9.784514904,7.508,8.734,-2.145,,,,,,,,,,,,,,,,,,
9.795849085,7.355,8.734,-1.532,,,,,,,,,,,,,,,,,,
10.50957298,7.508,9.04,-1.992,,,,,,,,,,,,,,,,,,
10.52358294,5.056,8.121,2.145,,,,,,,,,,,,,,,,,,
10.53522897,5.669,7.968,2.451,,,,,,,,,,,,,,,,,,
10.54784799,7.661,7.814,4.597,,,,,,,,,,,,,,,,,,
