Time, step_count, frequency, a_variance
10.3225701809,1,0.0968750982048,0.340456132669
10.9484301567,2,1.59780148698,2.88235066329
11.449808054,3,1.99450355801,3.52659055756
12.0385572243,4,1.69851619406,2.99826572601
12.5250100422,5,2.0556978255,5.41259086831
13.1208831596,6,1.67820962336,3.59499724798
13.5925370979,7,2.12019855833,4.11270178996
14.1721991825,8,1.72514302143,4.76609062416
14.7700821686,9,1.67256808322,5.87317357288
15.2386750507,10,2.13404863386,3.10659487451
15.7492241192,11,1.95867559417,3.78563779298
16.3359203339,12,1.70445960786,4.36478794638
16.8578653336,13,1.91591068136,5.44054045401
17.4476342201,14,1.69557944269,4.95245152152
17.9711823559,15,1.91004404696,6.39709382749
18.5413971901,16,1.75372498223,5.2770733619
19.0720272446,17,1.88455213113,3.50061953033
19.6510170841,18,1.72714602517,3.88011175633
20.1727432156,19,1.91671442111,6.15430852868
20.7879091644,20,1.62557762152,4.62754594845
21.2443071747,21,2.19107002558,4.1388716624
21.814199276,22,1.75471812601,4.39056396454
22.3291993809,23,1.94174717729,7.0022007629
22.9347314644,24,1.65144015855,2.04260497819
23.4528133678,25,1.93019673786,5.19753964799
24.0481633949,26,1.67968414295,4.65629057044
24.5993554401,27,1.81424969516,5.85854684819
25.2349555302,28,1.57331632844,5.55369488301
25.6374914455,29,2.48425037818,4.96610816699
26.242668705,30,1.65240842149,3.94002660176
26.8065696526,31,1.77336109171,4.40422330753
27.3733197021,32,1.76444625055,3.62337755857
27.882581377,33,1.96362704936,3.6004982387
28.4992455482,34,1.62162818382,3.01575673208
28.9939023876,35,2.02160350451,3.66419068238
29.5744072819,36,1.7226383617,3.02973767812
30.0914942646,37,1.93391060577,2.67713496674
30.6721772575,38,1.72211001901,4.69996760351
31.2287983322,39,1.79655432662,6.31595128034
31.8897551918,40,1.51295804786,5.43762598041
32.3089892292,41,2.38530250598,2.93193625009
32.8923682594,42,1.71415143189,4.48548254981
33.372955265,43,2.08078867784,2.54941252171
33.9809452915,44,1.64476382252,4.64481841751
34.4963042164,45,1.94039523088,3.18888966634
35.0919153118,46,1.67894790355,5.10863810643
35.623778286,47,1.88018352202,5.57952513284
36.374440136,48,1.33215774857,3.73458319434
36.7264351273,49,2.8409495155,4.90672052939
37.2897171402,50,1.775309662,3.96763820637
37.8522803211,51,1.77757811729,6.33607775698
38.3900161171,52,1.85964930638,5.05415614419
38.9165012169,53,1.89938898631,3.70798174386
39.4937881756,54,1.73224075988,6.83183894543
